Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,PopulationDensity
2020-03-01,41.4,70.9,10.7,28.8,,,,,,257300.0,145600.0,0.8,0.1938278816199377,0.2197649437634272,229.0
2020-03-02,39.0,75.4,7.1,28.9,,,,,,228200.0,122500.0,0.6524,0.1938278816199377,0.2197649437634272,229.0
2020-03-03,40.8,75.3,8.2,29.2,,,,,,181900.0,93000.0,0.5238,0.1938278816199377,0.2197649437634272,229.0
2020-03-04,38.5,86.8,5.2,29.4,1.0000000148529775,,,,,167900.0,83200.0,0.4905,0.1938278816199377,0.2197649437634272,229.0
2020-03-05,39.1,87.9,9.3,29.1,1.0000000148529775,,,,,205000.0,98400.0,0.1952,0.1938278816199377,0.2197649437634272,229.0
2020-03-06,39.1,74.2,3.3,29.3,1.0000000148529775,,,,,235300.0,102700.0,0.7714,0.1938278816199377,0.2197649437634272,229.0
2020-03-07,46.2,81.2,9.6,29.5,1.0000000148529775,,,,,225100.0,125100.0,0.6,0.1938278816199377,0.2197649437634272,229.0
2020-03-08,48.5,72.8,12.5,29.2,1.0000000148529775,,,,,246600.0,150100.0,0.5619,0.1938278816199377,0.2197649437634272,229.0
2020-03-09,44.5,80.6,10.6,29.4,1.0000000148529775,,,,,217000.0,126300.0,0.5905,0.1938278816199377,0.2197649437634272,229.0
2020-03-10,53.4,84.0,11.4,29.2,1.0000000148529775,,,,,187900.0,98500.0,0.8714,0.1938278816199377,0.2197649437634272,229.0
2020-03-11,48.9,77.4,11.2,29.3,12.252711577131514,,,,,,,,0.1938278816199377,0.2197649437634272,229.0
2020-03-12,42.6,66.1,13.3,29.4,7.137110278427905,,,,,184200.0,96700.0,0.9824,0.1938278816199377,0.2197649437634272,229.0
2020-03-13,43.3,80.6,8.5,29.6,1.000000044558934,,,,,195200.0,104200.0,0.9273,0.1938278816199377,0.2197649437634272,229.0
2020-03-14,46.6,89.1,10.1,29.5,6.573527587337892,,,,,192200.0,125800.0,0.8773,0.1938278816199377,0.2197649437634272,229.0
2020-03-15,46.8,83.2,9.3,29.4,3.1483543123299085,,,,,201000.0,141400.0,0.2826,0.1938278816199377,0.2197649437634272,229.0
2020-03-16,44.2,69.7,6.8,29.8,1.0000000891178715,,,,,159400.0,112700.0,1.2087,0.1938278816199377,0.2197649437634272,229.0
