Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in),R0orig,R0alp,R0dlt,R0omi
2020-03-01,43.6,34.4,69.8,18.5,28.9,0.0,,,,
2020-03-02,40.4,34.6,80.3,9.7,29.1,0.0,1.0000000148529775,,,
2020-03-03,42.0,37.8,84.9,13.2,29.4,0.0,1.0000000148529775,,,
2020-03-04,41.2,36.9,85.3,5.2,29.6,0.0,1.0000000148529775,,,
2020-03-05,40.4,34.9,82.1,8.2,29.4,0.0,1.0000000148529775,,,
2020-03-06,40.3,35.6,85.0,5.7,29.6,0.0,1.0000000148529775,,,
2020-03-07,48.6,43.4,83.4,13.7,29.7,0.0,1.0000000148529775,,,
2020-03-08,48.4,42.5,80.9,14.0,29.4,0.0,1.0000000148529775,,,
2020-03-09,47.1,42.4,83.8,18.2,29.6,0.0,16.003615663974713,,,
2020-03-10,53.1,47.5,81.7,16.9,29.4,0.0,8.364532573678138,,,
2020-03-11,48.5,41.6,77.2,16.8,29.5,0.0,3.615340754857745,,,
2020-03-12,44.5,35.0,69.9,23.9,29.5,0.0,1.0000000891178715,,,
2020-03-13,46.0,40.6,82.1,13.8,29.9,0.0,1.0000000891178715,,,
2020-03-14,48.4,44.1,85.7,12.8,29.7,0.0,4.105850040234244,,,
2020-03-15,47.9,42.3,80.7,15.1,29.6,0.0,3.4948826614675963,,,
2020-03-16,47.0,38.0,72.5,11.6,30.0,0.0,2.186324353060111,,,
2020-03-17,53.7,47.7,80.0,15.5,30.0,0.0,3.1880389841004835,,,
2020-03-18,46.3,42.3,86.4,9.8,30.1,0.0,4.7996895702140305,,,
2020-03-19,45.2,36.9,75.1,7.0,30.3,0.0,3.8654529918075817,,,
2020-03-20,44.3,34.3,69.8,14.3,30.4,0.0,2.121099327215407,,,
2020-03-21,42.7,32.1,68.0,14.4,30.3,0.0,4.778600197719632,,,
2020-03-22,43.2,34.1,71.0,10.9,30.3,0.0,7.971831572763872,,,
2020-03-23,44.7,34.7,69.2,9.2,30.2,0.0,7.830794541049326,,,
2020-03-24,51.4,41.9,70.7,11.6,30.1,0.0,11.766094611722783,,,
2020-03-25,52.1,39.8,65.5,5.4,30.1,0.0,15.39183858972493,,,
2020-03-26,49.7,31.6,53.4,5.6,30.2,0.0,56.26519992266639,,,
2020-03-27,47.8,32.1,56.0,9.9,30.3,0.0,50.61626389245981,,,
2020-03-28,45.4,34.5,66.7,14.4,30.4,0.0,135.03609036013046,,,
2020-03-29,41.5,28.1,59.6,12.8,30.7,0.0,135.34294345333632,,,
2020-03-30,45.1,35.0,67.7,8.2,30.6,0.0,257.88784572029635,,,
2020-03-31,44.9,37.1,74.3,7.7,30.4,0.0,652.7323014337768,,,
2020-04-01,46.4,39.9,78.4,11.1,30.1,0.0,1010.2881892582362,,,
2020-04-02,48.8,43.3,81.5,16.2,29.9,0.0,21.122600086492113,,,
2020-04-03,48.8,39.6,71.7,9.7,29.9,0.0,7.983999670492589,,,
2020-04-04,50.6,42.6,74.2,9.8,29.9,0.0,9.928011503761406,,,
2020-04-05,56.4,42.1,59.9,14.6,29.7,0.0,4.9103401569796015,,,
