Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in),R0orig,R0alp,R0dlt,R0omi
2020-03-01,41.5,30.7,66.4,17.0,28.7,0.0,,,,
2020-03-02,37.7,31.3,79.6,8.2,28.9,0.0,,,,
2020-03-03,39.2,35.3,86.3,9.2,29.2,0.0,,,,
2020-03-04,39.5,34.3,82.4,2.9,29.4,0.0,,,,
2020-03-05,37.9,30.5,77.0,6.9,29.2,0.0,,,,
2020-03-06,37.0,31.0,79.9,3.5,29.4,0.0,,,,
2020-03-07,46.4,41.1,82.3,9.8,29.5,0.0,,,,
2020-03-08,46.4,41.1,83.0,12.3,29.3,0.0,,,,
2020-03-09,44.6,40.1,85.4,13.6,29.4,0.0,145.5334772368854,,,
2020-03-10,51.6,46.8,85.0,13.2,29.3,0.0,60.169907429720105,,,
2020-03-11,46.3,40.0,79.1,12.7,29.3,0.0,1.000000044558934,,,
2020-03-12,42.0,32.2,68.8,19.1,29.4,0.0,19.92337205382559,,,
2020-03-13,44.1,36.8,77.2,9.2,29.7,0.0,1.0000000594119127,,,
2020-03-14,47.2,42.4,83.3,8.1,29.5,0.0,8.605192405800786,,,
2020-03-15,46.6,40.9,80.9,10.5,29.4,0.0,11.747732067226188,,,
2020-03-16,45.3,35.7,70.8,8.7,29.8,0.0,9.655933566877104,,,
2020-03-17,51.8,45.3,79.1,12.4,29.9,0.0,2.3150954729203947,,,
2020-03-18,45.3,41.1,86.7,7.6,29.9,0.0,2.046136628934835,,,
2020-03-19,43.3,33.6,72.0,2.6,30.1,0.0,3.3223038462113674,,,
2020-03-20,42.2,31.6,67.8,10.1,30.2,0.0,4.22253255284527,,,
2020-03-21,42.0,28.5,60.7,9.2,30.1,0.0,1.9556467713378247,,,
2020-03-22,41.3,29.8,66.4,5.8,30.1,0.0,4.465116474159664,,,
2020-03-23,44.3,28.4,56.5,5.0,30.0,0.0,3.1243496159333626,,,
2020-03-24,49.8,37.4,62.4,6.2,29.9,0.0,2.991117136708555,,,
2020-03-25,51.1,32.5,51.3,3.7,29.9,0.0,4.72662199160895,,,
2020-03-26,46.4,25.9,50.4,4.0,30.0,0.0,3.7649139235229314,,,
2020-03-27,42.4,27.4,58.4,6.7,30.1,0.0,4.4388815500004695,,,
2020-03-28,43.6,32.9,66.8,15.7,30.3,0.0,3.4931009464011478,,,
2020-03-29,39.7,26.0,57.8,15.4,30.5,0.0,5.1185511299318796,,,
2020-03-30,41.0,30.4,67.8,7.4,30.3,0.0,9.430934661205363,,,
2020-03-31,43.8,35.8,74.6,6.6,30.2,0.0,10.154960710480411,,,
2020-04-01,44.0,37.2,78.1,7.6,29.9,0.0,8.328489500003311,,,
2020-04-02,46.9,40.3,78.7,13.3,29.7,0.0,19.57656978398025,,,
2020-04-03,45.6,36.5,71.8,6.9,29.7,0.0,30.428469896879697,,,
2020-04-04,47.9,39.3,73.7,4.7,29.8,0.0,31.74390840336554,,,
2020-04-05,57.3,37.1,47.5,8.9,29.6,0.0,74.67750394250154,,,
2020-04-06,52.6,41.4,66.6,9.7,29.7,0.0,205.75823417770243,,,
2020-04-07,49.4,37.1,65.5,4.4,30.1,0.0,448.83095660628317,,,
2020-04-08,54.8,42.5,65.3,3.8,30.0,0.0,481.61426897645663,,,
2020-04-09,54.0,45.3,74.0,4.8,30.0,0.0,6.181800463750824,,,
2020-04-10,58.5,46.0,65.4,4.6,29.9,0.0,2.6931597717491185,,,
2020-04-11,58.6,48.4,69.4,5.4,29.9,0.0,4.457523368384094,,,
2020-04-12,52.7,47.0,82.2,6.3,29.7,0.0,2.800273411101226,,,
2020-04-13,44.2,29.1,56.6,11.3,30.1,0.0,4.538687388357478,,,
2020-04-14,42.6,30.0,64.1,2.9,30.1,0.0,4.412758949319771,,,
2020-04-15,48.9,33.8,61.5,2.5,29.9,0.0,1.971422778376704,,,
2020-04-16,53.2,34.2,52.7,6.1,29.8,0.0,1.5976617136598303,,,
2020-04-17,49.6,38.3,66.0,9.4,29.8,0.0,3.1504020450312984,,,
2020-04-18,45.3,37.9,75.0,4.0,29.8,0.0,1.9244399415106412,,,
2020-04-19,48.8,33.3,60.0,6.7,29.9,0.0,2.958030125287072,,,
2020-04-20,49.0,34.1,60.2,11.0,29.9,0.0,1.6388633202355951,,,
2020-04-21,52.3,36.8,59.3,11.8,29.9,0.0,1.7105741784031223,,,
2020-04-22,53.9,39.4,61.7,8.8,29.9,0.0,1.1218348198439705,,,
2020-04-23,54.6,40.4,62.1,6.1,29.9,0.0,1.1536941741712088,,,
2020-04-24,54.7,38.3,57.9,3.1,29.7,0.0,0.8889654261274718,,,
2020-04-25,53.6,40.1,62.5,3.5,29.7,0.0,0.7966481850291528,,,
2020-04-26,54.4,43.6,67.6,5.2,29.6,0.0,1.1976979643840735,,,
2020-04-27,51.0,38.0,62.4,4.9,29.5,0.0,1.0782002241072577,,,
2020-04-28,46.5,38.9,75.5,4.7,29.4,0.0,1.1373940949019092,,,
2020-05-01,49.1,41.0,75.6,10.5,29.2,0.0,0.7501017048558879,,,
2020-05-02,49.3,41.9,76.9,7.1,29.5,0.0,0.8065799736031152,,,
2020-05-03,49.3,41.7,76.9,2.4,29.7,0.0,0.9894994797593184,,,
2020-05-04,52.0,42.4,70.7,7.4,29.9,0.0,1.1635105698836778,,,
2020-05-05,49.6,36.0,60.6,8.1,29.9,0.0,1.1219992283649882,,,
