Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,doctors,nonwhite,PopulationDensity,latitude,longitude
2020-03-01,41.5,66.4,17.0,28.7,,,,,,257300.0,145600.0,0.8,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550294558419,-2.261564427331463
2020-03-02,37.7,79.6,8.2,28.9,,,,,,228200.0,122500.0,0.6524,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550276758799,-2.261564217986925
2020-03-03,39.2,86.3,9.2,29.2,,,,,,181900.0,93000.0,0.5238,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550277010546,-2.261564015293035
2020-03-04,39.5,82.4,2.9,29.4,,,,,,167900.0,83200.0,0.4905,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550285439471,-2.2615644107863364
2020-03-05,37.9,77.0,6.9,29.2,,,,,,205000.0,98400.0,0.1952,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550279497977,-2.2615643230640448
2020-03-06,37.0,79.9,3.5,29.4,,,,,,235300.0,102700.0,0.7714,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550296638394,-2.2615642592455116
2020-03-07,46.4,82.3,9.8,29.5,,,,,,225100.0,125100.0,0.6,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550274869959,-2.261564382524047
2020-03-08,46.4,83.0,12.3,29.3,,,,,,246600.0,150100.0,0.5619,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.695502907238435,-2.2615644387625555
2020-03-09,44.6,85.4,13.6,29.4,,,,,,217000.0,126300.0,0.5905,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550275497017,-2.2615642512193213
2020-03-10,51.6,85.0,13.2,29.3,,,,,,187900.0,98500.0,0.8714,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.695502942061424,-2.2615641926460976
2020-03-11,46.3,79.1,12.7,29.3,,,,,,,,,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.695502882819746,-2.261564364475871
2020-03-12,42.0,68.8,19.1,29.4,,,,,,184200.0,96700.0,0.9824,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550285328448,-2.2615644238805985
2020-03-13,44.1,77.2,9.2,29.7,,,,,,195200.0,104200.0,0.9273,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550296680037,-2.261564312165841
2020-03-14,47.2,83.3,8.1,29.5,,,,,,192200.0,125800.0,0.8773,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550262187518,-2.261564486162198
2020-03-15,46.6,80.9,10.5,29.4,,,,,,201000.0,141400.0,0.2826,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.695502860965284,-2.261564101413335
2020-03-16,45.3,70.8,8.7,29.8,,,,,,159400.0,112700.0,1.2087,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550285446139,-2.261564303775163
2020-03-17,51.8,79.1,12.4,29.9,,,,,,109500.0,77300.0,0.9,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.695502876779564,-2.261564111231501
2020-03-18,45.3,86.7,7.6,29.9,,,,,,87000.0,62100.0,0.5522,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550307589327,-2.261564264417878
2020-03-19,43.3,72.0,2.6,30.1,,,,,,80900.0,58500.0,0.2818,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550290437088,-2.261564315983094
2020-03-20,42.2,67.8,10.1,30.2,1.0000000148529775,,,,,64200.0,46900.0,1.0955,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.695502851522924,-2.2615642507032336
2020-03-21,42.0,60.7,9.2,30.1,1.0000000148529775,,,,,51500.0,37000.0,1.2652,0.1636213603677944,0.1824270632307867,0.11199999999999999,0.023564065,513.0,53.69550285401338,-2.2615643276062207
