,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,43.8,83.9,6.3,30.4,,,,
1,2020-03-02,43.7,84.5,4.4,30.4,,,,
2,2020-03-03,44.5,72.7,12.9,29.5,1.0000000148529775,,,
3,2020-03-04,43.6,73.3,5.5,29.7,1.0000000148529775,,,
4,2020-03-05,42.8,87.0,14.3,29.3,1.0000000148529775,,,
5,2020-03-06,44.4,60.2,9.1,29.6,1.0000000148529775,,,
6,2020-03-07,44.2,62.1,8.5,30.2,1.0000000148529775,,,
7,2020-03-08,45.4,71.5,7.3,30.1,1.0000000148529775,,,
8,2020-03-09,48.2,68.2,16.2,29.8,20.107077644955783,,,
9,2020-03-10,58.1,74.5,24.1,29.5,1.000000044558934,,,
10,2020-03-11,53.4,66.5,16.7,29.7,5.602832803179416,,,
11,2020-03-12,46.9,56.7,24.1,29.7,7.725161915762071,,,
12,2020-03-13,48.6,64.6,11.1,30.0,1.0000001039708517,,,
13,2020-03-14,53.2,59.8,9.8,30.2,2.611265834097052,,,
14,2020-03-15,50.1,63.8,11.4,30.1,1.0000001188238323,,,
15,2020-03-16,49.4,67.1,6.3,30.1,2.3860459536109024,,,
16,2020-03-17,53.7,73.9,14.0,30.2,3.372648542737447,,,
17,2020-03-18,54.1,80.8,13.6,30.2,5.444454229930454,,,
18,2020-03-19,45.9,80.6,8.2,30.3,3.549791873784621,,,
19,2020-03-20,46.6,70.6,13.3,30.4,2.819335383219581,,,
20,2020-03-21,55.7,47.4,7.5,30.3,3.0472246912471586,,,
21,2020-03-22,46.1,71.3,9.0,30.2,8.053387444502215,,,
22,2020-03-23,50.2,47.1,11.7,30.3,6.776661123766719,,,
23,2020-03-24,53.6,43.3,12.8,30.2,9.2469358698709,,,
24,2020-03-25,53.6,35.7,6.2,30.2,6.5787953388531655,,,
25,2020-03-26,52.0,43.2,8.5,30.2,8.900201574626953,,,
26,2020-03-27,52.8,46.6,14.4,30.2,12.703217622804235,,,
27,2020-03-28,52.4,63.4,2.7,30.1,24.722248424905093,,,
28,2020-03-29,61.1,67.9,15.5,30.2,29.83154647243557,,,
29,2020-03-30,46.1,70.8,14.6,30.5,121.15073811443068,,,
30,2020-03-31,49.5,51.7,8.9,30.4,80.96256860062546,,,
31,2020-04-01,41.7,74.4,6.9,30.2,285.2594088346265,,,
32,2020-04-02,44.9,66.3,14.0,30.4,1.0000010991215271,,,
33,2020-04-03,49.4,56.7,7.5,30.0,8.095956505068408,,,
34,2020-04-04,51.9,81.8,16.8,29.7,4.72629028957348,,,
35,2020-04-05,41.2,36.4,16.9,30.0,4.690346365452729,,,
36,2020-04-06,41.9,38.2,16.2,30.0,2.580010487516768,,,
37,2020-04-07,42.6,40.3,13.3,30.2,3.660781618171395,,,
38,2020-04-08,62.4,53.6,4.6,30.2,5.680980092434259,,,
39,2020-04-09,68.4,46.0,6.8,30.2,2.165590843087717,,,
40,2020-04-10,0.0,0.0,0.0,0.0,3.0314913096056046,,,
41,2020-04-11,55.2,47.9,12.7,29.8,1.977311993777528,,,
42,2020-04-12,45.7,44.6,7.8,30.3,1.3830498081930906,,,
43,2020-04-13,47.5,53.6,15.6,30.3,3.3660847073884006,,,
