Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in),R0orig,R0alp,R0dlt,R0omi,cumFirstDose,cumSecondDose,cumThirdDose
2020-03-01,43.6,33.0,67.7,17.7,29.1,0.0,,,,,,,
2020-03-02,42.0,35.8,80.7,8.4,29.2,0.0,,,,,,,
2020-03-03,41.1,35.0,79.4,10.3,29.5,0.0,,,,,,,
2020-03-04,41.0,36.9,86.0,7.0,29.7,0.0,,,,,,,
2020-03-05,42.3,41.7,97.7,12.3,29.3,0.0,1.0000000297059557,,,,,,
2020-03-06,40.2,32.6,76.0,7.5,29.6,0.0,1.0000000297059557,,,,,,
2020-03-07,44.7,40.0,84.0,13.3,29.9,0.0,38.854795946182215,,,,,,
2020-03-08,48.8,43.0,80.6,18.2,29.6,0.0,1.000000044558934,,,,,,
2020-03-09,45.5,38.9,79.3,15.6,29.8,0.0,1.000000044558934,,,,,,
2020-03-10,54.7,50.8,87.3,18.6,29.6,0.0,1.000000044558934,,,,,,
2020-03-11,51.6,45.7,80.7,17.1,29.7,0.0,1.000000044558934,,,,,,
2020-03-12,46.3,33.1,60.9,20.6,29.7,0.0,12.252712305088568,,,,,,
2020-03-13,46.0,36.1,68.9,11.8,30.0,0.0,1.0000000891178715,,,,,,
2020-03-14,47.4,43.9,88.0,12.6,29.9,0.0,1.0000000891178715,,,,,,
2020-03-15,49.0,44.6,83.9,14.9,29.7,0.0,1.0000000891178715,,,,,,
2020-03-16,44.6,37.4,77.0,5.9,30.1,0.0,1.0000000891178715,,,,,,
2020-03-17,47.3,42.4,83.0,13.1,30.3,0.0,1.0000000891178715,,,,,,
2020-03-18,51.8,47.3,84.8,13.9,30.2,0.0,2.782058962376916,,,,,,
2020-03-19,44.9,43.4,94.2,9.0,30.2,0.0,3.8999036222992163,,,,,,
2020-03-20,44.1,38.1,80.2,13.6,30.3,0.0,2.4222252993145825,,,,,,
2020-03-21,43.3,33.8,70.0,17.4,30.3,0.0,1.0000001485297951,,,,,,
2020-03-22,42.3,34.3,73.5,14.8,30.3,0.0,7.367672404895557,,,,,,
2020-03-23,42.4,31.7,67.0,11.7,30.3,0.0,4.923846646070966,,,,,,
2020-03-24,43.9,31.1,62.5,7.8,30.2,0.0,5.3183999380584766,,,,,,
2020-03-25,38.5,29.6,73.8,5.4,30.2,0.0,6.054577559063642,,,,,,
2020-03-26,40.4,32.0,75.2,9.3,30.2,0.0,13.725108354673527,,,,,,
2020-03-27,44.6,32.6,67.2,12.4,30.2,0.0,12.364210580393527,,,,,,
2020-03-28,43.8,35.6,73.5,14.4,30.3,0.0,23.50360214759529,,,,,,
2020-03-29,38.7,29.0,68.7,15.2,30.6,0.0,17.25446811919252,,,,,,
2020-03-30,40.7,34.3,78.9,8.4,30.4,0.0,25.63464180274312,,,,,,
2020-03-31,41.1,33.6,76.3,10.2,30.4,0.0,96.64751796433649,,,,,,
2020-04-01,40.1,31.3,72.2,4.4,30.1,0.0,98.62248222319045,,,,,,
2020-04-02,47.6,37.4,68.4,8.4,29.9,0.0,227.5606497429104,,,,,,
2020-04-03,47.5,35.9,64.8,5.7,30.0,0.0,207.2274484117196,,,,,,
2020-04-04,46.0,39.6,80.9,7.0,30.1,0.0,241.8525277333287,,,,,,
2020-04-05,55.0,39.8,60.2,9.7,29.9,0.0,17.556244218444927,,,,,,
2020-04-06,55.9,41.7,60.8,9.5,30.0,0.0,9.093402194904591,,,,,,
2020-04-07,50.4,41.5,73.9,6.2,30.3,0.0,6.6178409952003765,,,,,,
