Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,PopulationDensity
2020-03-01,41.4,70.9,10.7,28.8,1.0000000148529775,,,,,257300.0,145600.0,0.8,0.161417557,0.193640852,2732.0
2020-03-02,39.0,75.4,7.1,28.9,1.0000000148529775,,,,,228200.0,122500.0,0.6524,0.161417557,0.193640852,2732.0
2020-03-03,40.8,75.3,8.2,29.2,1.0000000148529775,,,,,181900.0,93000.0,0.5238,0.161417557,0.193640852,2732.0
2020-03-04,38.5,86.8,5.2,29.4,1.0000000148529775,,,,,167900.0,83200.0,0.4905,0.161417557,0.193640852,2732.0
2020-03-05,39.1,87.9,9.3,29.1,1.0000000148529775,,,,,205000.0,98400.0,0.1952,0.161417557,0.193640852,2732.0
2020-03-06,39.1,74.2,3.3,29.3,1.0000000148529775,,,,,235300.0,102700.0,0.7714,0.161417557,0.193640852,2732.0
2020-03-07,46.2,81.2,9.6,29.5,1.0000000148529775,,,,,225100.0,125100.0,0.6,0.161417557,0.193640852,2732.0
2020-03-08,48.5,72.8,12.5,29.2,1.0000000148529775,,,,,246600.0,150100.0,0.5619,0.161417557,0.193640852,2732.0
2020-03-09,44.5,80.6,10.6,29.4,10.205665243777869,,,,,217000.0,126300.0,0.5905,0.161417557,0.193640852,2732.0
2020-03-10,53.4,84.0,11.4,29.2,12.208603123622884,,,,,187900.0,98500.0,0.8714,0.161417557,0.193640852,2732.0
2020-03-11,48.9,77.4,11.2,29.3,7.966910530597287,,,,,,,,0.161417557,0.193640852,2732.0
2020-03-12,42.6,66.1,13.3,29.4,2.6112661443777028,,,,,184200.0,96700.0,0.9824,0.161417557,0.193640852,2732.0
2020-03-13,43.3,80.6,8.5,29.6,2.380378215229981,,,,,195200.0,104200.0,0.9273,0.161417557,0.193640852,2732.0
2020-03-14,46.6,89.1,10.1,29.5,3.2680757427793763,,,,,192200.0,125800.0,0.8773,0.161417557,0.193640852,2732.0
2020-03-15,46.8,83.2,9.3,29.4,1.5673728812860026,,,,,201000.0,141400.0,0.2826,0.161417557,0.193640852,2732.0
2020-03-16,44.2,69.7,6.8,29.8,3.1070011564344786,,,,,159400.0,112700.0,1.2087,0.161417557,0.193640852,2732.0
2020-03-17,49.5,84.0,10.7,29.9,3.523232225002221,,,,,109500.0,77300.0,0.9,0.161417557,0.193640852,2732.0
2020-03-18,46.7,93.2,8.2,29.9,4.820605322064151,,,,,87000.0,62100.0,0.5522,0.161417557,0.193640852,2732.0
2020-03-19,41.5,83.4,7.1,30.0,5.324241585201854,,,,,80900.0,58500.0,0.2818,0.161417557,0.193640852,2732.0
2020-03-20,42.3,78.2,11.5,30.1,6.946653104565464,,,,,64200.0,46900.0,1.0955,0.161417557,0.193640852,2732.0
2020-03-21,41.9,63.9,12.7,30.0,6.6953032868388265,,,,,51500.0,37000.0,1.2652,0.161417557,0.193640852,2732.0
2020-03-22,41.1,68.3,8.7,30.0,12.896977714308267,,,,,36400.0,23600.0,1.1,0.161417557,0.193640852,2732.0
2020-03-23,40.9,67.8,6.4,29.9,13.350552125424846,,,,,28000.0,17600.0,1.4542,0.161417557,0.193640852,2732.0
2020-03-24,45.5,71.7,7.6,29.9,17.232126613236698,,,,,22600.0,14200.0,1.5667,0.161417557,0.193640852,2732.0
2020-03-25,45.8,54.5,5.3,29.9,27.28385803653386,,,,,14800.0,8900.0,1.6913,0.161417557,0.193640852,2732.0
2020-03-26,43.9,53.0,6.1,29.9,42.51400233971968,,,,,14600.0,8600.0,1.575,0.161417557,0.193640852,2732.0
2020-03-27,41.8,71.3,9.9,29.9,96.02661988700116,,,,,13100.0,7800.0,1.45,0.161417557,0.193640852,2732.0
2020-03-28,42.2,73.2,14.2,30.1,95.4735783829988,,,,,11400.0,7000.0,1.0542,0.161417557,0.193640852,2732.0
2020-03-29,39.7,60.4,15.9,30.4,201.56237777802968,,,,,10000.0,5800.0,0.9958,0.161417557,0.193640852,2732.0
2020-03-30,40.9,74.2,9.6,30.2,384.8550891014822,,,,,5700.0,2900.0,0.6625,0.161417557,0.193640852,2732.0
2020-03-31,42.3,72.1,7.9,30.1,801.2462046816057,,,,,5500.0,2700.0,1.1667,0.161417557,0.193640852,2732.0
2020-04-01,42.7,69.6,7.6,29.9,16.88214677305053,,,,,4400.0,2200.0,0.9458,0.161417557,0.193640852,2732.0
2020-04-02,48.5,68.1,10.2,29.6,4.41834213730693,,,,,4700.0,2300.0,1.028,0.161417557,0.193640852,2732.0
2020-04-03,47.3,62.7,6.1,29.7,5.236049008303937,,,,,5400.0,2600.0,1.484,0.161417557,0.193640852,2732.0
2020-04-04,46.2,75.2,6.7,29.7,1.90868027960087,,,,,5500.0,2700.0,1.932,0.161417557,0.193640852,2732.0
2020-04-05,54.0,56.8,12.8,29.5,4.816429975858814,,,,,5300.0,2500.0,2.116,0.161417557,0.193640852,2732.0
2020-04-06,54.1,63.0,9.0,29.6,4.4783735765143255,,,,,3300.0,1900.0,1.5923,0.161417557,0.193640852,2732.0
2020-04-07,50.1,62.1,4.4,30.0,1.3490640964062783,,,,,4200.0,2500.0,1.8038,0.161417557,0.193640852,2732.0
2020-04-08,57.7,57.1,2.2,29.9,2.564413848619609,,,,,4300.0,2200.0,1.6423,0.161417557,0.193640852,2732.0
2020-04-09,57.3,66.4,6.8,29.9,1.8153862405024144,,,,,4500.0,2800.0,1.9577,0.161417557,0.193640852,2732.0
2020-04-10,57.5,67.8,6.0,29.9,0.4725341361683272,,,,,3600.0,1800.0,2.1192,0.161417557,0.193640852,2732.0
2020-04-11,60.9,59.8,5.0,29.8,0.6050793817882261,,,,,3700.0,2500.0,1.8577,0.161417557,0.193640852,2732.0
2020-04-12,57.3,70.9,6.0,29.6,1.1182916077485907,,,,,3300.0,1700.0,1.8115,0.161417557,0.193640852,2732.0
2020-04-13,44.5,62.6,13.9,30.0,1.0186605636345525,,,,,3000.0,1800.0,1.6654,0.161417557,0.193640852,2732.0
2020-04-14,44.5,57.3,3.7,30.0,1.1375688676071003,,,,,1900.0,1000.0,2.2654,0.161417557,0.193640852,2732.0
2020-04-15,49.0,58.4,3.8,29.8,1.3703685130907983,,,,,2700.0,1300.0,2.2077,0.161417557,0.193640852,2732.0
2020-04-16,53.6,56.9,5.8,29.7,1.4652635267903942,,,,,2800.0,1600.0,1.5115,0.161417557,0.193640852,2732.0
2020-04-17,49.2,73.6,11.9,29.7,1.0573251805517472,,,,,3100.0,1700.0,0.6692,0.161417557,0.193640852,2732.0
2020-04-18,45.2,85.8,7.4,29.7,0.9059418843051928,,,,,3200.0,1900.0,1.0038,0.161417557,0.193640852,2732.0
2020-04-19,49.2,67.6,9.0,29.8,1.474715140579288,,,,,2300.0,1100.0,2.2038,0.161417557,0.193640852,2732.0
2020-04-20,49.3,65.1,12.5,29.8,1.5146563714560313,,,,,3100.0,1900.0,2.1071,0.161417557,0.193640852,2732.0
2020-04-21,51.7,65.6,12.0,29.7,1.245076035758682,,,,,3300.0,2300.0,2.1536,0.161417557,0.193640852,2732.0
2020-04-22,53.3,65.6,9.8,29.8,1.238172361493323,,,,,3900.0,2200.0,2.1964,0.161417557,0.193640852,2732.0
2020-04-23,54.3,66.9,6.7,29.8,1.6154648444282782,,,,,2900.0,1800.0,2.2536,0.161417557,0.193640852,2732.0
2020-04-24,54.8,59.2,5.2,29.7,1.1715965378623463,,,,,4500.0,2800.0,2.2107,0.161417557,0.193640852,2732.0
2020-04-25,49.6,71.8,5.6,29.6,1.122290359121504,,,,,3500.0,2300.0,2.2536,0.161417557,0.193640852,2732.0
2020-04-26,55.1,64.1,5.2,29.5,1.1334701762709138,,,,,3900.0,2400.0,2.2929,0.161417557,0.193640852,2732.0
2020-04-27,52.7,63.3,7.2,29.4,1.2604580147281372,,,,,3300.0,2100.0,1.2964,0.161417557,0.193640852,2732.0
2020-04-28,45.8,85.7,8.0,29.4,0.9366162118999318,,,,,4300.0,2800.0,0.3464,0.161417557,0.193640852,2732.0
2020-05-01,48.9,73.3,8.1,29.1,0.8165085404614917,,,,,4900.0,2600.0,1.5964,0.161417557,0.193640852,2732.0
2020-05-02,50.5,63.9,6.9,29.5,0.8398203115313744,,,,,3800.0,1900.0,2.1143,0.161417557,0.193640852,2732.0
2020-05-03,50.9,71.9,3.3,29.6,0.7837065971189752,,,,,4700.0,1800.0,1.1393,0.161417557,0.193640852,2732.0
2020-05-04,50.8,77.9,7.9,29.8,0.8520182531406213,,,,,2700.0,900.0,2.2179,0.161417557,0.193640852,2732.0
2020-05-05,49.9,63.6,12.1,29.8,0.7573209806832636,,,,,3100.0,1800.0,2.4464,0.161417557,0.193640852,2732.0
2020-05-06,50.3,61.7,5.7,29.9,0.8766238728246261,,,,,4400.0,1900.0,2.5786,0.161417557,0.193640852,2732.0
2020-05-07,56.7,64.3,4.7,29.8,0.8939914230849153,,,,,4500.0,2100.0,2.4759,0.161417557,0.193640852,2732.0
2020-05-08,61.6,70.8,3.7,29.7,0.8048843887629702,,,,,4600.0,1600.0,2.3207,0.161417557,0.193640852,2732.0
2020-05-09,62.9,69.7,5.2,29.6,0.8435199190364486,,,,,3700.0,1500.0,2.4241,0.161417557,0.193640852,2732.0
2020-05-10,50.6,73.5,13.4,29.6,0.8798359637337171,,,,,3900.0,1400.0,1.3033,0.161417557,0.193640852,2732.0
2020-05-11,43.4,60.2,12.8,29.8,0.9177772795435816,,,,,3500.0,1300.0,1.7483,0.161417557,0.193640852,2732.0
2020-05-12,46.2,61.8,7.8,29.8,0.8946561797380698,,,,,3300.0,1300.0,2.1033,0.161417557,0.193640852,2732.0
2020-05-13,45.4,59.9,9.2,29.7,0.9339786908656672,,,,,4400.0,1900.0,2.0828,0.161417557,0.193640852,2732.0
2020-05-14,46.8,56.1,7.1,29.9,0.9804686365638576,,,,,4400.0,1700.0,2.58,0.161417557,0.193640852,2732.0
2020-05-15,50.2,63.4,9.3,29.9,0.9667537717455472,,,,,5100.0,1800.0,2.32,0.161417557,0.193640852,2732.0
2020-05-16,53.0,56.8,6.7,29.9,1.043085354870865,,,,,3300.0,900.0,1.89,0.161417557,0.193640852,2732.0
2020-05-17,55.0,63.5,6.3,29.9,1.047964657841266,,,,,4300.0,1500.0,2.3967,0.161417557,0.193640852,2732.0
2020-05-18,58.4,65.0,7.9,29.8,1.0193342418288929,,,,,4500.0,1200.0,2.8833,0.161417557,0.193640852,2732.0
2020-05-19,64.0,62.2,7.2,29.8,1.0799401102048036,,,,,3400.0,1300.0,3.0467,0.161417557,0.193640852,2732.0
2020-05-20,65.9,59.0,5.5,29.8,1.039779800062438,,,,,6800.0,2400.0,2.9533,0.161417557,0.193640852,2732.0
2020-05-21,62.6,59.0,5.7,29.7,1.0730176564560263,,,,,4400.0,1700.0,2.7933,0.161417557,0.193640852,2732.0
2020-05-22,60.0,58.3,13.4,29.6,1.0826314875347407,,,,,5000.0,1400.0,2.4067,0.161417557,0.193640852,2732.0
2020-05-23,55.7,58.6,12.5,29.8,1.045354666045602,,,,,4500.0,1400.0,2.2133,0.161417557,0.193640852,2732.0
2020-05-24,60.0,59.4,9.6,30.0,1.0915049885636678,,,,,5400.0,1500.0,2.2067,0.161417557,0.193640852,2732.0
2020-05-25,60.6,49.5,6.5,30.2,1.0580474250093517,,,,,4100.0,1200.0,2.9367,0.161417557,0.193640852,2732.0
2020-05-26,62.6,58.6,6.4,30.2,1.0520506794587026,,,,,4000.0,1500.0,2.94,0.161417557,0.193640852,2732.0
2020-05-27,63.4,54.4,7.0,30.2,1.074844458043921,,,,,5100.0,1800.0,2.5633,0.161417557,0.193640852,2732.0
