Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,PopulationDensity
2020-03-01,40.8,73.2,16.3,28.6,,,,,,257300.0,145600.0,0.8,0.233291427,0.263224748,138.0
2020-03-02,39.4,81.7,9.2,28.7,,,,,,228200.0,122500.0,0.6524,0.233291427,0.263224748,138.0
2020-03-03,38.8,83.3,10.8,29.0,,,,,,181900.0,93000.0,0.5238,0.233291427,0.263224748,138.0
2020-03-04,38.5,89.1,6.3,29.2,,,,,,167900.0,83200.0,0.4905,0.233291427,0.263224748,138.0
2020-03-05,38.7,97.1,14.0,28.8,,,,,,205000.0,98400.0,0.1952,0.233291427,0.263224748,138.0
2020-03-06,39.1,77.4,8.3,29.1,,,,,,235300.0,102700.0,0.7714,0.233291427,0.263224748,138.0
2020-03-07,44.0,85.0,12.0,29.4,,,,,,225100.0,125100.0,0.6,0.233291427,0.263224748,138.0
2020-03-08,47.0,80.7,18.1,29.1,,,,,,246600.0,150100.0,0.5619,0.233291427,0.263224748,138.0
2020-03-09,43.1,84.7,15.4,29.2,,,,,,217000.0,126300.0,0.5905,0.233291427,0.263224748,138.0
2020-03-10,52.0,89.1,25.3,29.1,1.0000000148529775,,,,,187900.0,98500.0,0.8714,0.233291427,0.263224748,138.0
2020-03-11,49.0,79.3,17.0,29.2,89.75485978917374,,,,,,,,0.233291427,0.263224748,138.0
2020-03-12,42.4,72.4,23.9,29.2,1.0000000297059557,,,,,184200.0,96700.0,0.9824,0.233291427,0.263224748,138.0
2020-03-13,43.5,76.3,13.0,29.4,1.0000000297059557,,,,,195200.0,104200.0,0.9273,0.233291427,0.263224748,138.0
2020-03-14,46.0,87.2,10.8,29.3,18.52063872185984,,,,,192200.0,125800.0,0.8773,0.233291427,0.263224748,138.0
2020-03-15,46.2,89.1,13.3,29.2,16.210384737336682,,,,,201000.0,141400.0,0.2826,0.233291427,0.263224748,138.0
2020-03-16,42.7,77.8,9.2,29.6,9.188748133507248,,,,,159400.0,112700.0,1.2087,0.233291427,0.263224748,138.0
2020-03-17,46.4,84.2,12.4,29.7,9.183791473675305,,,,,109500.0,77300.0,0.9,0.233291427,0.263224748,138.0
2020-03-18,50.0,89.4,11.5,29.6,5.909689284971926,,,,,87000.0,62100.0,0.5522,0.233291427,0.263224748,138.0
2020-03-19,41.6,96.2,9.3,29.7,3.615341399240807,,,,,80900.0,58500.0,0.2818,0.233291427,0.263224748,138.0
2020-03-20,41.5,83.5,14.5,29.8,1.0000002673536623,,,,,64200.0,46900.0,1.0955,0.233291427,0.263224748,138.0
2020-03-21,40.3,70.0,12.9,29.7,2.2890130990263726,,,,,51500.0,37000.0,1.2652,0.233291427,0.263224748,138.0
2020-03-22,39.9,73.2,10.2,29.7,4.220882709965967,,,,,36400.0,23600.0,1.1,0.233291427,0.263224748,138.0
2020-03-23,41.6,66.1,11.1,29.7,2.2474420726229147,,,,,28000.0,17600.0,1.4542,0.233291427,0.263224748,138.0
2020-03-24,44.7,59.1,8.8,29.7,1.81559861009398,,,,,22600.0,14200.0,1.5667,0.233291427,0.263224748,138.0
2020-03-25,43.3,52.3,6.8,29.7,3.8444521631464417,,,,,14800.0,8900.0,1.6913,0.233291427,0.263224748,138.0
2020-03-26,41.2,63.3,9.8,29.6,3.4051242634470444,,,,,14600.0,8600.0,1.575,0.233291427,0.263224748,138.0
2020-03-27,41.7,76.2,13.0,29.7,2.8368302958715184,,,,,13100.0,7800.0,1.45,0.233291427,0.263224748,138.0
2020-03-28,40.9,80.0,18.3,29.8,1.8719671302453795,,,,,11400.0,7000.0,1.0542,0.233291427,0.263224748,138.0
2020-03-29,37.9,68.2,19.8,30.1,6.8652940470034425,,,,,10000.0,5800.0,0.9958,0.233291427,0.263224748,138.0
2020-03-30,39.9,80.8,12.5,30.0,4.825089390430223,,,,,5700.0,2900.0,0.6625,0.233291427,0.263224748,138.0
2020-03-31,40.9,75.8,10.3,29.9,4.566715693838939,,,,,5500.0,2700.0,1.1667,0.233291427,0.263224748,138.0
2020-04-01,39.5,72.6,6.5,29.6,8.523897780447209,,,,,4400.0,2200.0,0.9458,0.233291427,0.263224748,138.0
2020-04-02,46.8,71.3,11.0,29.4,12.603429908234274,,,,,4700.0,2300.0,1.028,0.233291427,0.263224748,138.0
2020-04-03,46.7,67.1,6.3,29.5,16.004137784276804,,,,,5400.0,2600.0,1.484,0.233291427,0.263224748,138.0
2020-04-04,47.8,66.8,7.8,29.5,31.632670957869376,,,,,5500.0,2700.0,1.932,0.233291427,0.263224748,138.0
2020-04-05,54.9,53.7,11.6,29.4,36.629263869018565,,,,,5300.0,2500.0,2.116,0.233291427,0.263224748,138.0
2020-04-06,54.3,63.4,11.9,29.4,67.56084588061672,,,,,3300.0,1900.0,1.5923,0.233291427,0.263224748,138.0
2020-04-07,52.6,60.2,7.3,29.8,92.27631456367207,,,,,4200.0,2500.0,1.8038,0.233291427,0.263224748,138.0
2020-04-08,56.6,64.8,5.1,29.7,321.7985774012695,,,,,4300.0,2200.0,1.6423,0.233291427,0.263224748,138.0
2020-04-09,57.9,62.2,7.7,29.7,310.0944085072863,,,,,4500.0,2800.0,1.9577,0.233291427,0.263224748,138.0
2020-04-10,56.0,66.0,10.0,29.7,6.8065864604272726,,,,,3600.0,1800.0,2.1192,0.233291427,0.263224748,138.0
2020-04-11,59.7,59.3,5.7,29.6,1.5057953023287132,,,,,3700.0,2500.0,1.8577,0.233291427,0.263224748,138.0
2020-04-12,58.8,63.8,6.8,29.4,2.5757797197068646,,,,,3300.0,1700.0,1.8115,0.233291427,0.263224748,138.0
2020-04-13,43.9,69.9,17.0,29.7,1.8693125891201776,,,,,3000.0,1800.0,1.6654,0.233291427,0.263224748,138.0
2020-04-14,43.6,62.0,6.5,29.8,3.4456717331158093,,,,,1900.0,1000.0,2.2654,0.233291427,0.263224748,138.0
2020-04-15,48.0,63.3,5.8,29.6,4.89491615345754,,,,,2700.0,1300.0,2.2077,0.233291427,0.263224748,138.0
2020-04-16,52.9,64.6,6.4,29.4,2.7098040155558567,,,,,2800.0,1600.0,1.5115,0.233291427,0.263224748,138.0
2020-04-17,49.2,77.4,12.2,29.5,5.805050280410961,,,,,3100.0,1700.0,0.6692,0.233291427,0.263224748,138.0
2020-04-18,45.8,90.8,8.5,29.5,4.720923252573393,,,,,3200.0,1900.0,1.0038,0.233291427,0.263224748,138.0
2020-04-19,49.1,73.2,11.1,29.6,2.4090948979680817,,,,,2300.0,1100.0,2.2038,0.233291427,0.263224748,138.0
