Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,PopulationDensity
2020-03-01,45.9,62.0,15.1,29.2,1.0000000148529775,,,,,257300.0,145600.0,0.8,0.083388494,0.10381236,8553.0
2020-03-02,44.0,73.9,8.7,29.2,1.0000000148529775,,,,,228200.0,122500.0,0.6524,0.083388494,0.10381236,8553.0
2020-03-03,43.6,71.5,9.5,29.6,29.17701251577722,,,,,181900.0,93000.0,0.5238,0.083388494,0.10381236,8553.0
2020-03-04,42.9,80.9,7.1,29.7,1.0000000297059557,,,,,167900.0,83200.0,0.4905,0.083388494,0.10381236,8553.0
2020-03-05,43.8,88.5,10.2,29.4,1.0000000297059557,,,,,205000.0,98400.0,0.1952,0.083388494,0.10381236,8553.0
2020-03-06,44.1,67.9,7.2,29.6,66.0178262126511,,,,,235300.0,102700.0,0.7714,0.083388494,0.10381236,8553.0
2020-03-07,47.3,76.7,10.5,29.9,1.000000044558934,,,,,225100.0,125100.0,0.6,0.083388494,0.10381236,8553.0
2020-03-08,51.0,73.3,14.7,29.7,1.000000044558934,,,,,246600.0,150100.0,0.5619,0.083388494,0.10381236,8553.0
2020-03-09,47.0,75.3,13.1,29.8,245.0559637706581,,,,,217000.0,126300.0,0.5905,0.083388494,0.10381236,8553.0
2020-03-10,56.2,82.9,17.1,29.6,1007.9351540560197,,,,,187900.0,98500.0,0.8714,0.083388494,0.10381236,8553.0
2020-03-11,53.3,75.9,13.8,29.8,1753.9315566045557,,,,,,,,0.083388494,0.10381236,8553.0
2020-03-12,47.1,60.7,19.1,29.8,1010.2857733256916,,,,,184200.0,96700.0,0.9824,0.083388494,0.10381236,8553.0
2020-03-13,48.1,63.9,12.2,30.0,11.122850930536776,,,,,195200.0,104200.0,0.9273,0.083388494,0.10381236,8553.0
2020-03-14,50.1,78.0,9.3,29.9,12.96319723015439,,,,,192200.0,125800.0,0.8773,0.083388494,0.10381236,8553.0
2020-03-15,51.0,77.5,12.3,29.8,22.1698038594606,,,,,201000.0,141400.0,0.2826,0.083388494,0.10381236,8553.0
2020-03-16,48.5,65.1,7.0,30.1,8.296593271930808,,,,,159400.0,112700.0,1.2087,0.083388494,0.10381236,8553.0
2020-03-17,50.3,73.6,10.0,30.3,10.413524914899671,,,,,109500.0,77300.0,0.9,0.083388494,0.10381236,8553.0
2020-03-18,54.3,77.6,11.6,30.2,15.88201962966749,,,,,87000.0,62100.0,0.5522,0.083388494,0.10381236,8553.0
2020-03-19,46.4,88.8,7.9,30.3,12.485058697407984,,,,,80900.0,58500.0,0.2818,0.083388494,0.10381236,8553.0
2020-03-20,46.2,69.4,12.8,30.4,4.055713123790511,,,,,64200.0,46900.0,1.0955,0.083388494,0.10381236,8553.0
2020-03-21,45.2,63.6,15.7,30.3,8.548178969292866,,,,,51500.0,37000.0,1.2652,0.083388494,0.10381236,8553.0
2020-03-22,44.7,65.5,13.7,30.3,9.449776358112857,,,,,36400.0,23600.0,1.1,0.083388494,0.10381236,8553.0
2020-03-23,44.5,60.3,12.0,30.3,4.8528524741086665,,,,,28000.0,17600.0,1.4542,0.083388494,0.10381236,8553.0
2020-03-24,47.8,51.2,6.9,30.3,5.680608021533438,,,,,22600.0,14200.0,1.5667,0.083388494,0.10381236,8553.0
2020-03-25,45.3,56.0,7.3,30.2,4.6919765741770165,,,,,14800.0,8900.0,1.6913,0.083388494,0.10381236,8553.0
2020-03-26,44.5,58.9,8.7,30.2,4.363444354695596,,,,,14600.0,8600.0,1.575,0.083388494,0.10381236,8553.0
2020-03-27,46.5,59.1,8.3,30.2,2.576272799243281,,,,,13100.0,7800.0,1.45,0.083388494,0.10381236,8553.0
2020-03-28,45.9,63.0,10.1,30.4,2.454799652119496,,,,,11400.0,7000.0,1.0542,0.083388494,0.10381236,8553.0
2020-03-29,42.0,55.2,11.2,30.6,2.407738993741977,,,,,10000.0,5800.0,0.9958,0.083388494,0.10381236,8553.0
2020-03-30,43.2,67.4,7.4,30.5,2.6295424730174632,,,,,5700.0,2900.0,0.6625,0.083388494,0.10381236,8553.0
2020-03-31,43.7,67.0,9.2,30.4,2.2599630861178364,,,,,5500.0,2700.0,1.1667,0.083388494,0.10381236,8553.0
2020-04-01,43.3,61.9,4.6,30.2,2.5860115076034336,,,,,4400.0,2200.0,0.9458,0.083388494,0.10381236,8553.0
2020-04-02,50.7,60.1,9.3,30.0,2.079360033993772,,,,,4700.0,2300.0,1.028,0.083388494,0.10381236,8553.0
2020-04-03,51.3,55.0,5.6,30.0,1.4691657168961392,,,,,5400.0,2600.0,1.484,0.083388494,0.10381236,8553.0
2020-04-04,51.9,60.9,7.0,30.1,1.4789691866889498,,,,,5500.0,2700.0,1.932,0.083388494,0.10381236,8553.0
2020-04-05,58.7,47.0,11.0,29.9,1.6180250080807022,,,,,5300.0,2500.0,2.116,0.083388494,0.10381236,8553.0
2020-04-06,59.0,55.7,8.3,30.0,1.2366522600097172,,,,,3300.0,1900.0,1.5923,0.083388494,0.10381236,8553.0
2020-04-07,55.4,59.5,6.5,30.4,1.1414742808904337,,,,,4200.0,2500.0,1.8038,0.083388494,0.10381236,8553.0
2020-04-08,58.1,63.2,6.9,30.2,1.1976713270907209,,,,,4300.0,2200.0,1.6423,0.083388494,0.10381236,8553.0
2020-04-09,57.5,65.3,9.3,30.3,0.8665258494720718,,,,,4500.0,2800.0,1.9577,0.083388494,0.10381236,8553.0
2020-04-10,56.6,69.5,10.3,30.3,0.8844024178961332,,,,,3600.0,1800.0,2.1192,0.083388494,0.10381236,8553.0
2020-04-11,60.1,63.1,6.4,30.2,0.8952539081790843,,,,,3700.0,2500.0,1.8577,0.083388494,0.10381236,8553.0
2020-04-12,64.0,50.1,5.8,29.9,1.0382584476662855,,,,,3300.0,1700.0,1.8115,0.083388494,0.10381236,8553.0
2020-04-13,48.6,57.4,15.0,30.3,0.8520432445934516,,,,,3000.0,1800.0,1.6654,0.083388494,0.10381236,8553.0
2020-04-14,46.9,54.4,8.4,30.4,0.9731718827230642,,,,,1900.0,1000.0,2.2654,0.083388494,0.10381236,8553.0
2020-04-15,50.0,62.1,7.0,30.2,0.7937497232761725,,,,,2700.0,1300.0,2.2077,0.083388494,0.10381236,8553.0
2020-04-16,54.0,66.5,7.3,30.0,0.9636363468751146,,,,,2800.0,1600.0,1.5115,0.083388494,0.10381236,8553.0
2020-04-17,52.2,70.0,14.4,30.0,0.7529651838489189,,,,,3100.0,1700.0,0.6692,0.083388494,0.10381236,8553.0
2020-04-18,50.4,78.3,6.7,30.0,0.8265985394092574,,,,,3200.0,1900.0,1.0038,0.083388494,0.10381236,8553.0
2020-04-19,53.1,63.0,9.2,30.1,0.8727572156978329,,,,,2300.0,1100.0,2.2038,0.083388494,0.10381236,8553.0
2020-04-20,53.9,56.1,13.3,30.0,1.0570574564073492,,,,,3100.0,1900.0,2.1071,0.083388494,0.10381236,8553.0
2020-04-21,56.3,51.4,14.5,30.0,0.8466622791245016,,,,,3300.0,2300.0,2.1536,0.083388494,0.10381236,8553.0
2020-04-22,57.4,53.0,9.9,30.1,0.947393565723686,,,,,3900.0,2200.0,2.1964,0.083388494,0.10381236,8553.0
2020-04-23,58.3,57.7,7.0,30.1,0.9072027496109548,,,,,2900.0,1800.0,2.2536,0.083388494,0.10381236,8553.0
2020-04-24,57.9,57.0,6.1,30.0,0.980058913120726,,,,,4500.0,2800.0,2.2107,0.083388494,0.10381236,8553.0
2020-04-25,50.6,71.9,10.4,30.0,0.9124475991338196,,,,,3500.0,2300.0,2.2536,0.083388494,0.10381236,8553.0
2020-04-26,55.8,59.4,4.8,29.9,1.0386224513688838,,,,,3900.0,2400.0,2.2929,0.083388494,0.10381236,8553.0
2020-04-27,57.1,58.6,7.3,29.7,1.05234703818854,,,,,3300.0,2100.0,1.2964,0.083388494,0.10381236,8553.0
2020-04-28,48.3,87.8,11.7,29.6,1.0048468233496908,,,,,4300.0,2800.0,0.3464,0.083388494,0.10381236,8553.0
2020-05-01,52.3,69.8,11.5,29.5,1.0076700459264416,,,,,4900.0,2600.0,1.5964,0.083388494,0.10381236,8553.0
2020-05-02,54.6,58.3,9.3,29.8,1.0328936924691283,,,,,3800.0,1900.0,2.1143,0.083388494,0.10381236,8553.0
2020-05-03,55.2,63.8,6.3,30.0,1.0397434757015278,,,,,4700.0,1800.0,1.1393,0.083388494,0.10381236,8553.0
2020-05-04,55.2,67.3,10.3,30.1,1.0468389104073283,,,,,2700.0,900.0,2.2179,0.083388494,0.10381236,8553.0
2020-05-05,52.0,63.1,16.6,30.1,1.0425717367888327,,,,,3100.0,1800.0,2.4464,0.083388494,0.10381236,8553.0
2020-05-06,52.8,63.5,8.8,30.3,1.0719869738407537,,,,,4400.0,1900.0,2.5786,0.083388494,0.10381236,8553.0
2020-05-07,59.8,60.4,5.5,30.2,1.0459486927914536,,,,,4500.0,2100.0,2.4759,0.083388494,0.10381236,8553.0
2020-05-08,64.7,48.9,4.9,30.0,1.0161223805491746,,,,,4600.0,1600.0,2.3207,0.083388494,0.10381236,8553.0
2020-05-09,64.1,53.5,8.0,29.9,1.0271775363361078,,,,,3700.0,1500.0,2.4241,0.083388494,0.10381236,8553.0
2020-05-10,55.4,64.4,10.3,29.8,1.0800415920699022,,,,,3900.0,1400.0,1.3033,0.083388494,0.10381236,8553.0
2020-05-11,47.8,51.1,11.9,30.1,1.0500740043290984,,,,,3500.0,1300.0,1.7483,0.083388494,0.10381236,8553.0
2020-05-12,50.1,52.1,5.2,30.1,1.1099356713003887,,,,,3300.0,1300.0,2.1033,0.083388494,0.10381236,8553.0
2020-05-13,49.6,53.8,9.0,30.0,1.0219721305607403,,,,,4400.0,1900.0,2.0828,0.083388494,0.10381236,8553.0
2020-05-14,48.1,58.3,8.3,30.2,1.0027162894802577,,,,,4400.0,1700.0,2.58,0.083388494,0.10381236,8553.0
2020-05-15,55.1,52.3,4.5,30.2,1.0363403759534997,,,,,5100.0,1800.0,2.32,0.083388494,0.10381236,8553.0
2020-05-16,56.8,50.4,6.2,30.2,1.0213875593159465,,,,,3300.0,900.0,1.89,0.083388494,0.10381236,8553.0
2020-05-17,60.2,50.6,8.2,30.2,1.032972736028306,,,,,4300.0,1500.0,2.3967,0.083388494,0.10381236,8553.0
2020-05-18,64.0,47.0,11.2,30.2,1.0515971618072326,,,,,4500.0,1200.0,2.8833,0.083388494,0.10381236,8553.0
2020-05-19,67.8,53.7,8.2,30.2,1.028477654487196,,,,,3400.0,1300.0,3.0467,0.083388494,0.10381236,8553.0
2020-05-20,71.7,48.9,5.9,30.1,1.0481212735274266,,,,,6800.0,2400.0,2.9533,0.083388494,0.10381236,8553.0
2020-05-21,72.0,49.5,5.3,30.1,1.0327688363547542,,,,,4400.0,1700.0,2.7933,0.083388494,0.10381236,8553.0
2020-05-22,67.1,47.0,14.3,29.9,1.0288862078768413,,,,,5000.0,1400.0,2.4067,0.083388494,0.10381236,8553.0
2020-05-23,59.8,52.5,17.6,30.2,1.0356391926905015,,,,,4500.0,1400.0,2.2133,0.083388494,0.10381236,8553.0
2020-05-24,62.5,56.4,11.7,30.4,1.05650190500935,,,,,5400.0,1500.0,2.2067,0.083388494,0.10381236,8553.0
2020-05-25,67.6,49.3,5.3,30.5,1.0261946516583125,,,,,4100.0,1200.0,2.9367,0.083388494,0.10381236,8553.0
2020-05-26,69.1,46.3,6.4,30.6,1.015557998749124,,,,,4000.0,1500.0,2.94,0.083388494,0.10381236,8553.0
2020-05-27,65.4,58.0,7.9,30.6,1.0215151656991437,,,,,5100.0,1800.0,2.5633,0.083388494,0.10381236,8553.0
2020-05-28,61.3,56.7,12.8,30.5,1.0426925131808271,,,,,5500.0,1800.0,3.0867,0.083388494,0.10381236,8553.0
2020-05-29,61.6,55.4,11.2,30.3,1.0071298121033525,,,,,6400.0,1900.0,3.1467,0.083388494,0.10381236,8553.0
2020-05-30,63.5,54.9,10.7,30.2,1.032966991877076,,,,,5300.0,1700.0,2.9267,0.083388494,0.10381236,8553.0
2020-05-31,65.1,48.9,12.5,30.2,1.0398859057851182,,,,,6300.0,1900.0,2.9467,0.083388494,0.10381236,8553.0
2020-06-01,65.3,54.8,8.6,30.2,1.0106981334974163,,,,,6000.0,1700.0,2.9233,0.083388494,0.10381236,8553.0
2020-06-02,66.4,49.6,5.8,30.1,1.0160378136723751,,,,,5400.0,1900.0,2.7871,0.083388494,0.10381236,8553.0
2020-06-03,62.2,66.9,6.5,29.8,1.0104771555799803,,,,,6800.0,2100.0,0.7968,0.083388494,0.10381236,8553.0
2020-06-04,56.3,65.2,10.3,29.6,1.0215378143807845,,,,,7700.0,2700.0,1.2742,0.083388494,0.10381236,8553.0
2020-06-05,56.2,58.0,13.9,29.4,1.0129146455009916,,,,,10200.0,3200.0,1.7517,0.083388494,0.10381236,8553.0
2020-06-06,52.6,67.7,15.0,29.5,1.022802561090214,,,,,8700.0,2500.0,1.0531,0.083388494,0.10381236,8553.0
2020-06-07,56.1,73.8,7.8,29.8,1.0153249423572568,,,,,10700.0,3200.0,1.7813,0.083388494,0.10381236,8553.0
2020-06-08,55.5,66.3,7.5,30.1,1.004056940268401,,,,,4800.0,1700.0,1.6065,0.083388494,0.10381236,8553.0
2020-06-09,58.4,56.0,5.6,30.1,1.0335691904571556,,,,,3300.0,1300.0,2.3115,0.083388494,0.10381236,8553.0
2020-06-10,56.6,77.5,6.8,30.0,1.0209072706894562,,,,,4000.0,1400.0,1.0238,0.083388494,0.10381236,8553.0
2020-06-11,59.0,79.5,11.3,29.9,1.0025081265782934,,,,,4100.0,1700.0,1.1344,0.083388494,0.10381236,8553.0
2020-06-12,62.4,79.6,12.2,29.7,1.0153634344182514,,,,,4700.0,1700.0,1.25,0.083388494,0.10381236,8553.0
2020-06-13,65.8,65.7,11.2,29.8,1.0035009166471054,,,,,4100.0,1600.0,2.2875,0.083388494,0.10381236,8553.0
2020-06-14,66.3,64.3,7.4,29.9,1.0034313052088324,,,,,5900.0,1900.0,1.7438,0.083388494,0.10381236,8553.0
2020-06-15,66.7,60.8,5.1,30.0,1.0135904609782007,,,,,5000.0,1600.0,2.0844,0.083388494,0.10381236,8553.0
2020-06-16,67.1,63.1,5.7,29.9,1.0231815943498546,,,,,4500.0,1300.0,2.0469,0.083388494,0.10381236,8553.0
2020-06-17,65.8,66.6,4.3,29.9,1.020903185326712,,,,,5600.0,1800.0,1.7844,0.083388494,0.10381236,8553.0
2020-06-18,62.5,79.1,7.2,29.8,1.009411920105939,,,,,5800.0,2100.0,0.7969,0.083388494,0.10381236,8553.0
2020-06-19,62.4,70.2,10.9,29.9,1.0024467865951558,,,,,7000.0,2300.0,1.3813,0.083388494,0.10381236,8553.0
2020-06-20,64.7,63.4,9.1,30.1,1.0148721469150177,,,,,5900.0,1800.0,2.1813,0.083388494,0.10381236,8553.0
2020-06-21,66.0,60.6,12.0,30.0,1.01428503902458,,,,,8200.0,2500.0,2.1219,0.083388494,0.10381236,8553.0
2020-06-22,65.3,55.3,9.0,30.2,1.0242347663946445,,,,,6800.0,2100.0,3.2406,0.083388494,0.10381236,8553.0
2020-06-23,70.8,54.8,6.8,30.2,1.0042339496457682,,,,,6200.0,1900.0,3.025,0.083388494,0.10381236,8553.0
2020-06-24,74.0,55.8,11.2,30.1,1.0040149413879635,,,,,6600.0,2300.0,2.8219,0.083388494,0.10381236,8553.0
2020-06-25,75.3,55.5,10.9,30.0,1.0224475811842937,,,,,7100.0,2700.0,2.9875,0.083388494,0.10381236,8553.0
2020-06-26,73.8,62.2,8.1,29.8,1.004813064608702,,,,,7200.0,2700.0,2.975,0.083388494,0.10381236,8553.0
2020-06-27,64.6,71.4,13.1,29.7,1.0048914491486591,,,,,7200.0,2700.0,1.5969,0.083388494,0.10381236,8553.0
2020-06-28,61.8,62.8,14.9,29.8,1.0151336741368628,,,,,9600.0,3500.0,2.2625,0.083388494,0.10381236,8553.0
2020-06-29,61.8,54.8,17.2,29.8,1.0252288997603431,,,,,7700.0,2700.0,1.7938,0.083388494,0.10381236,8553.0
2020-06-30,61.9,73.4,11.0,29.7,1.0045104608969415,,,,,8000.0,2800.0,1.3313,0.083388494,0.10381236,8553.0
2020-07-01,64.9,69.6,9.6,29.7,1.002366224962163,,,,,17400.0,6200.0,1.5194,0.083388494,0.10381236,8553.0
2020-07-02,62.4,74.3,9.7,29.8,1.002098690560993,,,,,14900.0,5900.0,1.9548,0.083388494,0.10381236,8553.0
2020-07-03,63.3,67.7,13.7,30.0,1.0038298593338086,,,,,16800.0,6900.0,2.2452,0.083388494,0.10381236,8553.0
2020-07-04,65.0,79.6,15.2,29.8,1.0027461189095626,,,,,16200.0,5900.0,0.9677,0.083388494,0.10381236,8553.0
2020-07-05,66.1,57.9,20.4,29.8,1.0024809223389275,,,,,19100.0,7300.0,0.2333,0.083388494,0.10381236,8553.0
2020-07-06,62.0,54.8,13.6,30.1,1.0326561779301002,,,,,16500.0,6500.0,2.113,0.083388494,0.10381236,8553.0
2020-07-07,63.0,57.6,7.6,30.1,1.0437393091260012,,,,,15000.0,5600.0,1.6742,0.083388494,0.10381236,8553.0
2020-07-08,63.0,88.4,7.7,29.9,1.032241394366874,,,,,16400.0,7200.0,1.2387,0.083388494,0.10381236,8553.0
2020-07-09,64.6,83.2,11.1,29.9,1.0011286277218572,,,,,18300.0,8300.0,1.0516,0.083388494,0.10381236,8553.0
2020-07-10,60.8,66.5,10.3,30.0,1.0037629349100827,,,,,31900.0,13600.0,1.8645,0.083388494,0.10381236,8553.0
2020-07-11,61.8,55.3,7.3,30.3,1.002471546894145,,,,,39300.0,15900.0,2.5161,0.083388494,0.10381236,8553.0
2020-07-12,65.7,52.2,4.7,30.3,1.024136641375386,,,,,48000.0,20000.0,2.8323,0.083388494,0.10381236,8553.0
2020-07-13,68.7,47.8,9.0,30.2,1.0425904253035008,,,,,38400.0,16400.0,2.471,0.083388494,0.10381236,8553.0
2020-07-14,65.2,67.4,7.0,30.0,1.0429818823052552,,,,,31600.0,13300.0,1.6129,0.083388494,0.10381236,8553.0
2020-07-15,63.2,63.5,7.8,30.0,1.0412074996557428,,,,,35600.0,15300.0,1.2839,0.083388494,0.10381236,8553.0
2020-07-16,66.8,66.8,8.7,30.1,1.0131330473812057,,,,,34400.0,15900.0,2.26,0.083388494,0.10381236,8553.0
2020-07-17,73.8,54.0,6.9,30.1,1.0135510146098117,,,,,39900.0,18300.0,2.8571,0.083388494,0.10381236,8553.0
2020-07-18,69.7,58.0,9.1,30.0,1.0131578694307242,,,,,43600.0,20300.0,2.7067,0.083388494,0.10381236,8553.0
2020-07-19,64.5,68.8,7.1,30.0,1.043913093268584,,,,,54800.0,25300.0,1.9,0.083388494,0.10381236,8553.0
2020-07-20,63.1,55.6,5.7,30.2,1.0234565186553406,,,,,46200.0,21400.0,2.9633,0.083388494,0.10381236,8553.0
2020-07-21,63.8,50.1,5.3,30.3,1.0030764437717394,,,,,37900.0,18100.0,2.9967,0.083388494,0.10381236,8553.0
2020-07-22,68.3,47.8,7.4,30.2,1.03200642037137,,,,,42900.0,21800.0,2.7367,0.083388494,0.10381236,8553.0
2020-07-23,69.0,51.2,10.0,30.0,1.0511321082672458,,,,,44800.0,23400.0,2.3667,0.083388494,0.10381236,8553.0
2020-07-24,69.3,63.8,9.2,29.9,1.053072428020414,,,,,58100.0,31800.0,1.8867,0.083388494,0.10381236,8553.0
2020-07-25,66.0,79.9,10.7,29.7,1.004231912793016,,,,,65400.0,38000.0,1.1567,0.083388494,0.10381236,8553.0
2020-07-26,64.5,71.4,11.3,29.8,1.043636299878274,,,,,78700.0,43300.0,1.7733,0.083388494,0.10381236,8553.0
2020-07-27,65.6,77.5,11.4,29.7,1.0142280013301173,,,,,63700.0,35100.0,1.1267,0.083388494,0.10381236,8553.0
2020-07-28,64.0,56.3,13.6,29.9,1.0421493208312589,,,,,54800.0,30400.0,1.8267,0.083388494,0.10381236,8553.0
2020-07-29,65.6,51.4,7.8,30.1,1.0319851470999426,,,,,60400.0,34000.0,2.7,0.083388494,0.10381236,8553.0
2020-07-30,72.5,45.0,6.3,30.0,1.0314600468176869,,,,,75600.0,42800.0,3.2586,0.083388494,0.10381236,8553.0
2020-07-31,78.3,51.8,10.8,29.9,1.0150431953363346,,,,,83900.0,47000.0,2.6483,0.083388494,0.10381236,8553.0
2020-08-01,72.0,57.5,11.3,29.9,1.00442913573452,,,,,99100.0,61400.0,2.469,0.083388494,0.10381236,8553.0
2020-08-02,67.6,53.9,10.8,30.0,1.014712430878107,,,,,107000.0,57900.0,2.7,0.083388494,0.10381236,8553.0
2020-08-03,66.2,53.4,7.9,30.0,1.0145728311901574,,,,,86600.0,47000.0,2.3724,0.083388494,0.10381236,8553.0
2020-08-04,66.5,56.7,8.3,30.0,1.0438396549185571,,,,,70300.0,38300.0,2.4793,0.083388494,0.10381236,8553.0
2020-08-05,70.3,54.1,12.2,29.9,1.0415284332745636,,,,,72200.0,39300.0,2.4724,0.083388494,0.10381236,8553.0
2020-08-06,74.2,65.5,7.0,30.0,1.069890863463079,,,,,73600.0,40600.0,1.8241,0.083388494,0.10381236,8553.0
2020-08-07,79.7,49.3,4.0,30.0,1.0056906463208215,,,,,89100.0,49600.0,2.5643,0.083388494,0.10381236,8553.0
2020-08-08,78.8,53.3,6.3,30.1,1.0150720381454683,,,,,102900.0,63800.0,1.8607,0.083388494,0.10381236,8553.0
2020-08-09,75.1,64.8,8.5,30.0,1.026215024501552,,,,,115300.0,64800.0,2.4,0.083388494,0.10381236,8553.0
2020-08-10,78.3,61.8,8.8,29.9,1.0348450430764349,,,,,95500.0,54900.0,2.3964,0.083388494,0.10381236,8553.0
2020-08-11,80.1,60.6,6.1,29.9,1.0423862505356525,,,,,82400.0,49100.0,1.1444,0.083388494,0.10381236,8553.0
2020-08-12,79.5,62.4,8.0,29.9,1.031816131488632,,,,,86800.0,50500.0,2.7667,0.083388494,0.10381236,8553.0
2020-08-13,74.0,71.4,6.0,29.9,1.0412915732029246,,,,,87700.0,49700.0,1.7929,0.083388494,0.10381236,8553.0
2020-08-14,65.9,88.1,5.8,29.9,1.0157792105018475,,,,,108700.0,63400.0,0.7464,0.083388494,0.10381236,8553.0
2020-08-15,66.4,93.7,4.7,29.9,1.0255038667208138,,,,,107400.0,65500.0,0.6,0.083388494,0.10381236,8553.0
2020-08-16,69.2,83.8,4.8,29.8,1.0447955973960013,,,,,117900.0,64900.0,1.375,0.083388494,0.10381236,8553.0
2020-08-17,67.3,75.7,6.2,29.7,1.053960757821596,,,,,106400.0,59500.0,1.5857,0.083388494,0.10381236,8553.0
2020-08-18,68.7,69.6,9.2,29.8,1.0623117823584736,,,,,96500.0,56300.0,1.5643,0.083388494,0.10381236,8553.0
2020-08-19,66.6,88.4,7.6,29.6,1.0507898086795184,,,,,96200.0,55100.0,0.6107,0.083388494,0.10381236,8553.0
2020-08-20,71.3,60.9,9.9,29.6,1.0685400505562048,,,,,96900.0,53600.0,2.6259,0.083388494,0.10381236,8553.0
2020-08-21,69.9,62.0,16.5,29.6,1.027702790954198,,,,,110900.0,63000.0,1.7037,0.083388494,0.10381236,8553.0
2020-08-22,67.0,62.4,14.9,29.9,1.0637541565652264,,,,,112800.0,68200.0,2.1074,0.083388494,0.10381236,8553.0
2020-08-23,65.7,64.0,13.7,30.0,1.0444894806506977,,,,,121800.0,66500.0,1.7577,0.083388494,0.10381236,8553.0
2020-08-24,64.1,72.1,9.1,29.9,1.0252923861620051,,,,,107300.0,59200.0,1.6269,0.083388494,0.10381236,8553.0
2020-08-25,65.7,76.6,16.7,29.6,1.0347026654992142,,,,,91700.0,51500.0,1.2346,0.083388494,0.10381236,8553.0
2020-08-26,66.5,58.8,16.4,29.8,1.0591270127430896,,,,,91900.0,52300.0,1.6462,0.083388494,0.10381236,8553.0
2020-08-27,62.0,75.5,8.9,29.8,1.0764528497207717,,,,,97700.0,54200.0,0.772,0.083388494,0.10381236,8553.0
2020-08-28,60.2,79.5,9.3,29.5,1.0071974066691551,,,,,117200.0,66100.0,1.3,0.083388494,0.10381236,8553.0
2020-08-29,56.4,79.0,11.8,29.7,1.0060504429910029,,,,,115400.0,71000.0,1.1462,0.083388494,0.10381236,8553.0
2020-08-30,58.2,67.3,9.1,30.0,1.0982942028994982,,,,,122800.0,67400.0,1.6231,0.083388494,0.10381236,8553.0
2020-09-01,59.8,64.2,3.9,30.1,1.1490326309384578,,,,,93300.0,50200.0,1.6308,0.083388494,0.10381236,8553.0
2020-09-02,61.5,68.8,6.8,30.1,1.0927378880992036,,,,,92600.0,48800.0,1.3692,0.083388494,0.10381236,8553.0
2020-09-03,66.8,78.8,12.6,30.0,1.0652567156679555,,,,,93200.0,47500.0,0.9731,0.083388494,0.10381236,8553.0
2020-09-04,62.1,69.2,10.5,30.1,1.033484928934172,,,,,112700.0,57100.0,1.2808,0.083388494,0.10381236,8553.0
2020-09-05,60.0,64.9,9.1,30.1,1.0414230229998571,,,,,108900.0,61900.0,1.5769,0.083388494,0.10381236,8553.0
2020-09-06,60.5,65.4,6.2,30.1,1.0939104916307365,,,,,,,,0.083388494,0.10381236,8553.0
2020-09-07,62.4,72.2,9.2,30.2,1.1284373553518616,,,,,97800.0,49400.0,1.8833,0.083388494,0.10381236,8553.0
2020-09-08,68.7,75.8,9.3,30.2,1.0851514572631922,,,,,81500.0,43400.0,1.82,0.083388494,0.10381236,8553.0
2020-09-09,66.2,70.3,8.5,30.2,1.0573566036691475,,,,,82100.0,42800.0,1.2292,0.083388494,0.10381236,8553.0
2020-09-10,60.1,58.9,3.3,30.2,1.0819469861899682,,,,,88900.0,46200.0,1.8375,0.083388494,0.10381236,8553.0
2020-09-11,60.2,61.8,7.5,30.0,1.0496170771912836,,,,,115400.0,61600.0,1.4583,0.083388494,0.10381236,8553.0
2020-09-12,63.8,61.6,10.1,30.1,1.036985441241576,,,,,103200.0,59700.0,2.0083,0.083388494,0.10381236,8553.0
2020-09-13,66.5,66.2,7.9,30.2,1.090506788827992,,,,,112700.0,58500.0,1.9917,0.083388494,0.10381236,8553.0
2020-09-14,67.8,67.1,6.7,30.1,1.0821093880704296,,,,,94500.0,49800.0,1.6792,0.083388494,0.10381236,8553.0
2020-09-15,71.8,68.7,4.5,30.0,1.1064502051809355,,,,,76300.0,41300.0,1.6167,0.083388494,0.10381236,8553.0
2020-09-16,69.9,63.5,8.5,30.2,1.0782007291892504,,,,,79200.0,42800.0,1.6208,0.083388494,0.10381236,8553.0
2020-09-17,61.9,64.0,11.9,30.3,1.0785519956739564,,,,,81900.0,42400.0,1.7917,0.083388494,0.10381236,8553.0
2020-09-18,61.2,65.2,11.3,30.2,1.0863930632341985,,,,,100100.0,51000.0,1.7217,0.083388494,0.10381236,8553.0
2020-09-19,64.7,62.7,10.3,30.0,1.1004799193054429,,,,,101100.0,58800.0,1.6667,0.083388494,0.10381236,8553.0
2020-09-20,65.4,63.9,8.4,30.1,1.0991543109650708,,,,,108600.0,56200.0,1.7,0.083388494,0.10381236,8553.0
2020-09-21,63.2,70.6,2.9,30.0,1.0834429993676826,,,,,90200.0,48000.0,1.6435,0.083388494,0.10381236,8553.0
2020-09-22,67.3,61.8,8.0,29.8,1.156503078601551,,,,,69600.0,36700.0,1.5304,0.083388494,0.10381236,8553.0
2020-09-23,62.2,78.4,10.7,29.5,1.159209576781927,,,,,69300.0,37900.0,0.5652,0.083388494,0.10381236,8553.0
2020-09-24,54.1,71.9,9.0,29.4,1.1629002882264072,,,,,76000.0,39000.0,0.9,0.083388494,0.10381236,8553.0
2020-09-25,53.4,65.6,16.3,29.5,1.1354760687758534,,,,,94200.0,47300.0,1.113,0.083388494,0.10381236,8553.0
