,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,43.6,69.8,18.5,28.9,,,,
1,2020-03-02,40.4,80.3,9.7,29.1,,,,
2,2020-03-03,42.0,84.9,13.2,29.4,,,,
3,2020-03-04,41.2,85.3,5.2,29.6,,,,
4,2020-03-05,40.4,82.1,8.2,29.4,,,,
5,2020-03-06,40.3,85.0,5.7,29.6,,,,
6,2020-03-07,48.6,83.4,13.7,29.7,,,,
7,2020-03-08,48.4,80.9,14.0,29.4,,,,
8,2020-03-09,47.1,83.8,18.2,29.6,,,,
9,2020-03-10,53.1,81.7,16.9,29.4,1.0000000148529775,,,
10,2020-03-11,48.5,77.2,16.8,29.5,1.0000000148529775,,,
11,2020-03-12,44.5,69.9,23.9,29.5,1.0000000148529775,,,
12,2020-03-13,46.0,82.1,13.8,29.9,1.0000000148529775,,,
13,2020-03-14,48.4,85.7,12.8,29.7,1.0000000148529775,,,
14,2020-03-15,47.9,80.7,15.1,29.6,1.0000000148529775,,,
15,2020-03-16,47.0,72.5,11.6,30.0,1.0000000148529775,,,
16,2020-03-17,53.7,80.0,15.5,30.0,1.0000000148529775,,,
17,2020-03-18,46.3,86.4,9.8,30.1,1.0000000148529775,,,
18,2020-03-19,45.2,75.1,7.0,30.3,1.0000000148529775,,,
19,2020-03-20,44.3,69.8,14.3,30.4,10.289212290402329,,,
20,2020-03-21,42.7,68.0,14.4,30.3,4.222531298501596,,,
21,2020-03-22,43.2,71.0,10.9,30.3,1.0000000594119127,,,
22,2020-03-23,44.7,69.2,9.2,30.2,5.158137363637962,,,
23,2020-03-24,51.4,70.7,11.6,30.1,6.219826505580095,,,
24,2020-03-25,52.1,65.5,5.4,30.1,5.740751077482039,,,
25,2020-03-26,49.7,53.4,5.6,30.2,3.691446907376625,,,
26,2020-03-27,47.8,56.0,9.9,30.3,2.00542226543031,,,
27,2020-03-28,45.4,66.7,14.4,30.4,3.242198342518198,,,
28,2020-03-29,41.5,59.6,12.8,30.7,10.75122687105524,,,
29,2020-03-30,45.1,67.7,8.2,30.6,9.294693221277557,,,
30,2020-03-31,44.9,74.3,7.7,30.4,9.575618783430688,,,
31,2020-04-01,46.4,78.4,11.1,30.1,13.12182809160901,,,
32,2020-04-02,48.8,81.5,16.2,29.9,15.20309723857873,,,
33,2020-04-03,48.8,71.7,9.7,29.9,18.46749328653438,,,
34,2020-04-04,50.6,74.2,9.8,29.9,10.282621728002244,,,
35,2020-04-05,56.4,59.9,14.6,29.7,64.20764013039924,,,
36,2020-04-06,53.7,69.1,12.4,29.9,149.55599953653734,,,
37,2020-04-07,51.6,68.6,7.7,30.3,178.69468589695632,,,
38,2020-04-08,55.9,67.4,4.7,30.2,285.25956560209164,,,
39,2020-04-09,55.9,76.2,6.9,30.2,420.1107994606323,,,
40,2020-04-10,58.3,75.8,7.9,30.1,9.064838197153566,,,
41,2020-04-11,57.5,82.7,5.9,30.1,2.7497068166815914,,,
42,2020-04-12,54.5,85.0,8.7,29.9,2.963980624717358,,,
43,2020-04-13,46.3,61.2,14.8,30.3,4.365496768032939,,,
44,2020-04-14,45.3,65.1,4.8,30.3,4.613297819752707,,,
45,2020-04-15,50.8,65.9,4.5,30.1,4.823752283402873,,,
46,2020-04-16,55.0,61.5,8.2,29.9,3.641229578043749,,,
47,2020-04-17,52.3,68.8,13.4,30.0,1.744122663095176,,,
48,2020-04-18,46.4,80.8,7.3,30.0,1.410429278882091,,,
49,2020-04-19,51.7,62.7,10.7,30.1,4.123971303895712,,,
50,2020-04-20,50.9,60.9,16.0,30.1,2.828987002934793,,,
51,2020-04-21,54.3,60.8,19.0,30.1,1.4149599208487953,,,
52,2020-04-22,56.0,62.6,13.5,30.1,1.439624906493335,,,
53,2020-04-23,55.7,66.5,6.6,30.1,1.4096781601243469,,,
