,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,41.7,69.2,17.1,28.8,,,,
1,2020-03-02,40.0,79.6,7.8,28.9,,,,
2,2020-03-03,38.8,82.4,8.8,29.2,,,,
3,2020-03-04,38.8,87.2,6.8,29.4,,,,
4,2020-03-05,40.4,94.8,12.6,29.0,,,,
5,2020-03-06,39.9,76.2,7.0,29.3,,,,
6,2020-03-07,43.2,83.5,12.3,29.6,,,,
7,2020-03-08,48.7,76.2,17.6,29.3,,,,
8,2020-03-09,43.2,82.1,12.6,29.4,,,,
9,2020-03-10,53.8,86.4,17.2,29.3,,,,
10,2020-03-11,49.9,77.9,15.2,29.4,,,,
11,2020-03-12,44.3,65.1,19.7,29.4,,,,
12,2020-03-13,44.6,72.7,10.5,29.6,1.0000000148529775,,,
13,2020-03-14,47.0,85.4,11.9,29.6,1.0000000148529775,,,
14,2020-03-15,47.6,87.0,13.7,29.4,76.7095918478055,,,
15,2020-03-16,43.1,79.1,5.9,29.7,19.92337205382559,,,
16,2020-03-17,47.1,83.0,15.0,29.9,11.512383592925836,,,
17,2020-03-18,51.1,88.0,12.8,29.9,1.000000074264892,,,
18,2020-03-19,43.5,93.0,8.6,29.9,9.188748133507248,,,
19,2020-03-20,42.7,81.4,13.0,30.0,6.0012057858455226,,,
20,2020-03-21,41.1,70.3,13.3,29.9,7.575476532835077,,,
21,2020-03-22,40.6,70.8,12.0,29.9,1.0000002079417252,,,
22,2020-03-23,41.8,66.8,12.0,29.9,3.4589098877102287,,,
23,2020-03-24,44.3,61.7,10.4,29.9,1.7161184693955336,,,
24,2020-03-25,42.4,61.7,7.3,29.9,3.7007400054250494,,,
25,2020-03-26,41.4,65.3,9.6,29.8,3.227574683699498,,,
26,2020-03-27,42.5,71.6,10.8,29.9,2.977208119027395,,,
27,2020-03-28,42.1,73.8,15.2,30.0,1.41830216905081,,,
28,2020-03-29,38.7,64.8,16.1,30.2,3.0703447942813424,,,
29,2020-03-30,40.5,78.4,9.6,30.1,3.90698280052041,,,
30,2020-03-31,41.1,73.4,8.2,30.1,4.852506651384784,,,
31,2020-04-01,38.1,75.5,3.8,29.8,2.5635602060722897,,,
32,2020-04-02,47.0,70.2,7.3,29.6,4.790936104803246,,,
33,2020-04-03,47.5,63.6,5.4,29.7,5.8303509159870925,,,
34,2020-04-04,48.6,68.2,8.8,29.7,6.454825095700227,,,
35,2020-04-05,55.3,57.8,13.1,29.6,5.760380801661593,,,
