,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,41.5,66.4,17.0,28.7,,,,
1,2020-03-02,37.7,79.6,8.2,28.9,,,,
2,2020-03-03,39.2,86.3,9.2,29.2,,,,
3,2020-03-04,39.5,82.4,2.9,29.4,,,,
4,2020-03-05,37.9,77.0,6.9,29.2,,,,
5,2020-03-06,37.0,79.9,3.5,29.4,,,,
6,2020-03-07,46.4,82.3,9.8,29.5,,,,
7,2020-03-08,46.4,83.0,12.3,29.3,,,,
8,2020-03-09,44.6,85.4,13.6,29.4,145.5334772368854,,,
9,2020-03-10,51.6,85.0,13.2,29.3,60.1699074297201,,,
10,2020-03-11,46.3,79.1,12.7,29.3,1.000000044558934,,,
11,2020-03-12,42.0,68.8,19.1,29.4,19.92337205382559,,,
12,2020-03-13,44.1,77.2,9.2,29.7,1.0000000594119127,,,
13,2020-03-14,47.2,83.3,8.1,29.5,8.605192405800786,,,
14,2020-03-15,46.6,80.9,10.5,29.4,11.747732067226188,,,
15,2020-03-16,45.3,70.8,8.7,29.8,9.655933566877104,,,
16,2020-03-17,51.8,79.1,12.4,29.9,2.3150954729203947,,,
17,2020-03-18,45.3,86.7,7.6,29.9,2.046136628934835,,,
18,2020-03-19,43.3,72.0,2.6,30.1,3.3223038462113674,,,
19,2020-03-20,42.2,67.8,10.1,30.2,4.22253255284527,,,
20,2020-03-21,42.0,60.7,9.2,30.1,1.9556467713378247,,,
21,2020-03-22,41.3,66.4,5.8,30.1,4.465116474159664,,,
22,2020-03-23,44.3,56.5,5.0,30.0,3.1243496159333626,,,
23,2020-03-24,49.8,62.4,6.2,29.9,2.991117136708555,,,
24,2020-03-25,51.1,51.3,3.7,29.9,4.72662199160895,,,
25,2020-03-26,46.4,50.4,4.0,30.0,3.7649139235229314,,,
26,2020-03-27,42.4,58.4,6.7,30.1,4.43888155000047,,,
27,2020-03-28,43.6,66.8,15.7,30.3,3.493100946401148,,,
28,2020-03-29,39.7,57.8,15.4,30.5,5.11855112993188,,,
29,2020-03-30,41.0,67.8,7.4,30.3,9.430934661205365,,,
30,2020-03-31,43.8,74.6,6.6,30.2,10.154960710480411,,,
31,2020-04-01,44.0,78.1,7.6,29.9,8.328489500003311,,,
