,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,41.5,66.4,17.0,28.7,,,,
1,2020-03-02,37.7,79.6,8.2,28.9,,,,
2,2020-03-03,39.2,86.3,9.2,29.2,145.5334772368854,,,
3,2020-03-04,39.5,82.4,2.9,29.4,89.75486245542768,,,
4,2020-03-05,37.9,77.0,6.9,29.2,1.0000000594119127,,,
5,2020-03-06,37.0,79.9,3.5,29.4,1.0000000594119127,,,
6,2020-03-07,46.4,82.3,9.8,29.5,1.0000000594119127,,,
7,2020-03-08,46.4,83.0,12.3,29.3,13.675320829943958,,,
8,2020-03-09,44.6,85.4,13.6,29.4,5.094374118739051,,,
9,2020-03-10,51.6,85.0,13.2,29.3,3.813178256384656,,,
10,2020-03-11,46.3,79.1,12.7,29.3,1.0000001188238323,,,
11,2020-03-12,42.0,68.8,19.1,29.4,7.725162718953821,,,
12,2020-03-13,44.1,77.2,9.2,29.7,1.0000002079417252,,,
13,2020-03-14,47.2,83.3,8.1,29.5,3.274728625200129,,,
14,2020-03-15,46.6,80.9,10.5,29.4,4.240887938186338,,,
15,2020-03-16,45.3,70.8,8.7,29.8,2.8480619883619696,,,
16,2020-03-17,51.8,79.1,12.4,29.9,2.304957422502076,,,
17,2020-03-18,45.3,86.7,7.6,29.9,2.67320716119879,,,
18,2020-03-19,43.3,72.0,2.6,30.1,3.0703447942813424,,,
19,2020-03-20,42.2,67.8,10.1,30.2,2.3645023529109643,,,
20,2020-03-21,42.0,60.7,9.2,30.1,3.0472257322361296,,,
21,2020-03-22,41.3,66.4,5.8,30.1,7.254238239868878,,,
22,2020-03-23,44.3,56.5,5.0,30.0,5.901412234374559,,,
23,2020-03-24,49.8,62.4,6.2,29.9,11.435943998870616,,,
24,2020-03-25,51.1,51.3,3.7,29.9,18.47662932208137,,,
25,2020-03-26,46.4,50.4,4.0,30.0,15.81008031763073,,,
26,2020-03-27,42.4,58.4,6.7,30.1,41.85588636201276,,,
27,2020-03-28,43.6,66.8,15.7,30.3,44.07468492072704,,,
28,2020-03-29,39.7,57.8,15.4,30.5,68.42160163160725,,,
29,2020-03-30,41.0,67.8,7.4,30.3,142.29603142594772,,,
30,2020-03-31,43.8,74.6,6.6,30.2,199.24108951510985,,,
