,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,45.5,80.6,21.2,29.2,,,,
1,2020-03-02,45.0,84.2,14.1,29.2,,,,
2,2020-03-03,42.6,81.2,10.9,29.6,,,,
3,2020-03-04,42.6,92.7,8.3,29.8,,,,
4,2020-03-05,45.2,99.7,14.2,29.3,,,,
5,2020-03-06,42.7,81.9,11.2,29.6,,,,
6,2020-03-07,43.7,92.3,12.6,30.0,,,,
7,2020-03-08,49.7,89.8,23.8,29.8,,,,
8,2020-03-09,46.6,86.1,18.3,29.9,,,,
9,2020-03-10,51.5,100.0,25.3,29.7,,,,
10,2020-03-11,52.0,98.1,22.3,29.8,,,,
11,2020-03-12,47.5,74.7,23.8,29.9,,,,
12,2020-03-13,47.1,78.0,16.5,30.1,,,,
13,2020-03-14,48.0,91.8,17.8,30.0,,,,
14,2020-03-15,50.3,91.2,18.6,29.8,,,,
15,2020-03-16,46.6,87.2,8.5,30.1,1.0000000148529775,,,
16,2020-03-17,48.1,88.9,15.0,30.4,1.0000000148529775,,,
17,2020-03-18,50.0,91.3,15.6,30.3,1.0000000148529775,,,
18,2020-03-19,48.8,95.8,11.5,30.3,1.0000000148529775,,,
19,2020-03-20,46.3,83.9,22.1,30.3,1.0000000148529775,,,
20,2020-03-21,46.1,74.4,26.8,30.3,1.0000000148529775,,,
21,2020-03-22,44.8,69.6,24.7,30.3,1.0000000148529775,,,
22,2020-03-23,44.8,62.9,14.0,30.3,12.252711577131514,,,
23,2020-03-24,45.2,60.0,11.8,30.3,1.0000000297059557,,,
24,2020-03-27,46.5,74.3,17.2,30.1,2.841446608360708,,,
25,2020-03-28,49.7,83.4,22.0,30.3,5.517600250370106,,,
26,2020-03-29,49.0,86.9,16.0,30.4,1.0000001633827769,,,
27,2020-03-30,49.9,76.2,5.5,30.3,1.0000001633827769,,,
28,2020-03-31,52.5,80.5,4.6,30.1,4.047625712117258,,,
29,2020-04-01,21.4,31.8,2.8,30.2,3.018585157700908,,,
30,2020-04-02,46.9,80.3,10.2,30.0,2.123707141546328,,,
31,2020-04-03,48.4,81.5,7.3,30.1,2.307949060259428,,,
32,2020-04-04,48.8,88.0,8.2,30.1,2.590989570893253,,,
33,2020-04-05,56.0,64.4,13.5,30.0,8.032455475554615,,,
34,2020-04-06,53.0,83.3,13.7,30.1,5.508323909222638,,,
35,2020-04-07,51.3,83.5,8.7,30.4,4.147011931403927,,,
36,2020-04-08,55.1,80.8,10.2,30.2,5.584066214563373,,,
37,2020-04-09,54.3,81.0,13.3,30.3,1.0000004010305474,,,
38,2020-04-10,54.8,83.3,15.6,30.3,12.437508245701013,,,
39,2020-04-11,55.1,78.8,8.4,30.2,37.51994359266946,,,
40,2020-04-12,55.7,77.1,6.7,30.0,89.74766188471959,,,
41,2020-04-13,47.9,72.2,24.7,30.2,104.57051349132186,,,
42,2020-04-14,45.5,70.9,13.3,30.4,1.0000005198544752,,,
43,2020-04-15,49.6,76.5,12.1,30.2,1.0000005198544752,,,
44,2020-04-16,52.1,80.7,8.7,30.0,3.553643355654505,,,
45,2020-04-17,51.4,87.7,16.0,30.0,5.109092269947096,,,
46,2020-04-18,50.9,93.8,11.0,30.0,1.2755520351857044,,,
47,2020-04-19,51.4,82.6,13.1,30.1,2.846741996674803,,,
48,2020-04-20,54.4,69.1,21.7,30.0,2.651979999526539,,,
49,2020-04-21,55.5,68.9,20.1,29.9,2.7220382617326533,,,
50,2020-04-22,56.0,69.1,14.1,30.0,4.050597652171481,,,
51,2020-04-23,55.3,73.4,10.0,30.1,1.705151324895429,,,
52,2020-04-24,52.0,82.0,9.6,30.0,3.0898979674905416,,,
53,2020-04-25,49.4,85.0,14.8,30.0,3.6766504770287223,,,
54,2020-04-26,47.8,86.8,6.6,29.9,2.5109494320054533,,,
55,2020-04-27,51.0,77.0,6.2,29.8,4.063761274774743,,,
56,2020-04-28,50.3,100.0,13.8,29.6,1.876393554365644,,,
57,2020-05-01,51.1,88.8,16.6,29.5,0.894440378256302,,,
58,2020-05-02,51.2,80.8,12.8,29.8,1.7245283342199125,,,
59,2020-05-03,51.7,90.3,6.4,30.0,1.6908176028909034,,,
