,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,43.6,67.7,17.7,29.1,,,,
1,2020-03-02,42.0,80.7,8.4,29.2,,,,
2,2020-03-03,41.1,79.4,10.3,29.5,,,,
3,2020-03-04,41.0,86.0,7.0,29.7,,,,
4,2020-03-05,42.3,97.7,12.3,29.3,,,,
5,2020-03-06,40.2,76.0,7.5,29.6,,,,
6,2020-03-07,44.7,84.0,13.3,29.9,,,,
7,2020-03-08,48.8,80.6,18.2,29.6,,,,
8,2020-03-09,45.5,79.3,15.6,29.8,,,,
9,2020-03-10,54.7,87.3,18.6,29.6,,,,
10,2020-03-11,51.6,80.7,17.1,29.7,1.0000000148529775,,,
11,2020-03-12,46.3,60.9,20.6,29.7,1.0000000148529775,,,
12,2020-03-13,46.0,68.9,11.8,30.0,1.0000000148529775,,,
13,2020-03-14,47.4,88.0,12.6,29.9,1.0000000148529775,,,
14,2020-03-15,49.0,83.9,14.9,29.7,36.041277399160734,,,
15,2020-03-16,44.6,77.0,5.9,30.1,1.000000044558934,,,
16,2020-03-17,47.3,83.0,13.1,30.3,12.464246975059416,,,
17,2020-03-18,51.8,84.8,13.9,30.2,1.000000074264892,,,
18,2020-03-19,44.9,94.2,9.0,30.2,1.000000074264892,,,
19,2020-03-20,44.1,80.2,13.6,30.3,1.000000074264892,,,
20,2020-03-21,43.3,70.0,17.4,30.3,4.981091302999401,,,
21,2020-03-22,42.3,73.5,14.8,30.3,5.687318816675897,,,
22,2020-03-23,42.4,67.0,11.7,30.3,4.882313100722,,,
23,2020-03-24,43.9,62.5,7.8,30.2,5.158138742685001,,,
24,2020-03-25,38.5,73.8,5.4,30.2,4.262393014489424,,,
25,2020-03-26,40.4,75.2,9.3,30.2,2.5802513125033606,,,
26,2020-03-27,44.6,67.2,12.4,30.2,2.614869105816682,,,
27,2020-03-28,43.8,73.5,14.4,30.3,3.4916996409085543,,,
28,2020-03-29,38.7,68.7,15.2,30.6,1.500917472838725,,,
29,2020-03-30,40.7,78.9,8.4,30.4,6.733051791669256,,,
30,2020-03-31,41.1,76.3,10.2,30.4,6.946566311083821,,,
31,2020-04-01,40.1,72.2,4.4,30.1,5.569251253554974,,,
32,2020-04-02,47.6,68.4,8.4,29.9,8.982671289461265,,,
33,2020-04-03,47.5,64.8,5.7,30.0,3.946903194114702,,,
34,2020-04-04,46.0,80.9,7.0,30.1,23.58517188936709,,,
35,2020-04-05,55.0,60.2,9.7,29.9,36.91595617009612,,,
