,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,42.8,80.8,16.3,28.9,,,,
1,2020-03-02,41.0,83.4,12.6,29.0,,,,
2,2020-03-03,43.9,79.8,12.7,29.4,,,,
3,2020-03-04,42.1,94.0,11.0,29.4,,,,
4,2020-03-05,40.9,89.2,13.7,29.2,,,,
5,2020-03-06,39.5,90.1,7.1,29.5,,,,
6,2020-03-07,47.4,89.8,10.8,29.7,,,,
7,2020-03-08,47.2,86.5,17.1,29.4,,,,
8,2020-03-09,46.7,88.1,15.8,29.6,,,,
9,2020-03-10,49.8,99.3,23.8,29.4,,,,
10,2020-03-11,48.8,89.3,15.3,28.9,,,,
11,2020-03-12,44.4,75.6,22.6,29.6,,,,
12,2020-03-13,46.3,80.8,13.7,29.8,1.0000000297059557,,,
13,2020-03-14,47.9,94.9,10.7,29.6,60.1699074297201,,,
14,2020-03-15,46.0,90.8,11.0,29.5,29.391097407321723,,,
15,2020-03-16,42.8,84.1,9.7,29.9,26.231163497851934,,,
16,2020-03-17,49.6,88.7,8.9,30.1,18.520640372379813,,,
17,2020-03-18,49.5,97.3,9.7,30.0,18.89457363380238,,,
18,2020-03-19,40.8,97.5,16.1,30.1,7.513778619677451,,,
19,2020-03-20,43.9,74.1,21.0,30.1,2.875452893875712,,,
20,2020-03-21,44.0,64.4,20.4,30.0,4.17436901895204,,,
21,2020-03-22,44.6,67.0,16.8,30.0,6.109041025988603,,,
22,2020-03-23,44.5,69.1,11.5,30.0,2.9507366760657048,,,
23,2020-03-24,47.2,74.7,9.7,30.0,2.966292730197522,,,
24,2020-03-25,46.7,63.0,7.5,30.0,2.6442759631518733,,,
25,2020-03-26,46.3,50.9,10.4,30.0,2.31309847549342,,,
26,2020-03-27,45.4,61.0,13.6,30.0,1.9548485238994724,,,
27,2020-03-28,45.1,63.4,19.6,30.2,2.4065993468625875,,,
28,2020-03-29,42.1,53.9,19.4,30.4,3.90967771116612,,,
29,2020-03-30,42.9,65.4,11.7,30.4,2.133233281456222,,,
30,2020-03-31,45.2,64.9,13.3,30.2,3.811120657266754,,,
31,2020-04-01,42.5,71.8,6.8,30.0,3.673302193070215,,,
32,2020-04-02,46.6,84.3,11.8,29.8,3.332888726227281,,,
33,2020-04-03,47.4,82.8,9.1,29.8,4.073865921268932,,,
34,2020-04-04,49.4,80.7,8.3,29.8,4.329987301588031,,,
35,2020-04-05,53.6,70.3,13.9,29.6,14.4672147353751,,,
36,2020-04-06,50.8,85.2,11.0,29.8,4.960491427393839,,,
37,2020-04-07,50.3,73.5,5.3,30.1,17.936359638931712,,,
38,2020-04-08,59.0,57.9,5.3,30.0,13.859174468051249,,,
39,2020-04-09,60.3,64.3,7.2,30.0,32.06177483979244,,,
40,2020-04-10,60.5,62.6,9.4,30.0,25.38326768498302,,,
41,2020-04-11,59.1,66.0,6.1,29.9,-30.72736584514242,,,
42,2020-04-12,56.0,78.9,6.4,29.7,1.0000034904618451,,,
43,2020-04-13,48.6,63.0,21.7,30.0,2.7563716841462664,,,
44,2020-04-14,45.1,63.0,8.7,30.1,2.4723952422469084,,,
45,2020-04-15,50.0,65.1,8.8,29.9,3.4930686977663936,,,
46,2020-04-16,55.3,60.3,9.6,29.7,0.9172828660875332,,,
47,2020-04-17,51.5,87.7,16.4,29.7,2.470624567482383,,,
48,2020-04-18,46.9,89.9,13.1,29.8,1.44508340348011,,,
49,2020-04-19,53.6,72.3,12.6,29.9,1.1137256103008095,,,
50,2020-04-20,53.2,59.0,20.1,29.8,1.285294990588379,,,
51,2020-04-21,55.8,55.5,18.6,29.8,1.16680616470999,,,
52,2020-04-22,57.5,59.0,13.8,29.9,1.339710698450694,,,
53,2020-04-23,58.1,60.2,10.7,29.9,1.729239659137746,,,
54,2020-04-24,58.1,65.0,8.6,29.7,0.9973940069272405,,,
55,2020-04-25,56.4,69.4,7.8,29.7,0.8129941260423607,,,
56,2020-04-26,53.8,75.9,5.8,29.6,1.3652890884195994,,,
57,2020-04-27,52.9,82.4,5.8,29.5,0.9093195318028554,,,
58,2020-04-28,48.4,92.3,10.8,29.4,0.8798769848779177,,,
59,2020-05-01,51.3,81.7,16.2,29.3,1.0075274064479145,,,
60,2020-05-02,49.0,79.5,9.0,29.6,0.8876988773520628,,,
61,2020-05-03,50.2,91.8,7.6,29.7,0.879456220148115,,,
62,2020-05-04,55.3,74.1,13.4,29.8,0.9743694459938188,,,
