Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,male,female,PopulationDensity
2020-03-01,42.7,81.8,17.1,28.8,326.4079468262765,,,,,0.8,257300.0,145600.0,0.234820181,0.2702333,200.0
2020-03-02,42.3,79.7,16.8,28.9,1.000000044558934,,,,,0.6524,228200.0,122500.0,0.234820181,0.2702333,200.0
2020-03-03,43.5,74.0,12.9,29.3,1.000000044558934,,,,,0.5238,181900.0,93000.0,0.234820181,0.2702333,200.0
2020-03-04,45.2,95.6,12.1,29.2,1767.2496568542635,,,,,0.4905,167900.0,83200.0,0.234820181,0.2702333,200.0
2020-03-05,42.5,88.7,13.9,29.0,0.0007489957200268,,,,,0.1952,205000.0,98400.0,0.234820181,0.2702333,200.0
2020-03-06,43.8,81.0,22.3,29.3,0.4607430573002791,,,,,0.7714,235300.0,102700.0,0.234820181,0.2702333,200.0
2020-03-07,49.8,89.3,19.5,29.6,16.471362986203893,,,,,0.6,225100.0,125100.0,0.234820181,0.2702333,200.0
2020-03-08,47.2,84.3,21.9,29.3,0.5916311647451808,,,,,0.5619,246600.0,150100.0,0.234820181,0.2702333,200.0
2020-03-09,47.2,87.9,21.1,29.5,1.2737614554933872,,,,,0.5905,217000.0,126300.0,0.234820181,0.2702333,200.0
2020-03-10,50.7,99.7,23.3,29.4,1.1599593578517866,,,,,0.8714,187900.0,98500.0,0.234820181,0.2702333,200.0
2020-03-11,49.8,88.3,19.3,29.4,0.7441064036845966,,,,,,175700.0,88600.0,0.234820181,0.2702333,200.0
2020-03-12,44.3,75.1,24.4,29.5,7.765224881084169,,,,,0.9824,184200.0,96700.0,0.234820181,0.2702333,200.0
2020-03-13,45.8,82.1,15.0,29.6,1.1512970823691022,,,,,0.9273,195200.0,104200.0,0.234820181,0.2702333,200.0
2020-03-14,48.1,91.5,16.8,29.5,7.657240307333917,,,,,0.8773,192200.0,125800.0,0.234820181,0.2702333,200.0
2020-03-15,46.3,88.2,13.0,29.4,0.9172940257044404,,,,,0.2826,201000.0,141400.0,0.234820181,0.2702333,200.0
2020-03-16,44.3,74.4,9.1,29.8,5.580389847218404,,,,,1.2087,159400.0,112700.0,0.234820181,0.2702333,200.0
2020-03-17,49.4,90.8,14.7,29.9,7.183669063862388,,,,,0.9,109500.0,77300.0,0.234820181,0.2702333,200.0
2020-03-18,49.6,96.5,13.1,29.8,0.8078182199563039,,,,,0.5522,87000.0,62100.0,0.234820181,0.2702333,200.0
2020-03-19,46.4,94.1,8.9,29.8,0.8474053930345906,,,,,0.2818,80900.0,58500.0,0.234820181,0.2702333,200.0
2020-03-20,45.2,73.3,13.8,29.8,0.8944396475755512,,,,,1.0955,64200.0,46900.0,0.234820181,0.2702333,200.0
2020-03-21,44.9,75.2,28.8,29.7,3.968732006892833,,,,,1.2652,51500.0,37000.0,0.234820181,0.2702333,200.0
2020-03-22,44.3,73.9,9.1,29.8,2.2963496162995107,,,,,1.1,36400.0,23600.0,0.234820181,0.2702333,200.0
