,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,43.8,83.9,6.3,30.4,,,,
1,2020-03-02,43.7,84.5,4.4,30.4,,,,
2,2020-03-03,44.5,72.7,12.9,29.5,,,,
3,2020-03-04,43.6,73.3,5.5,29.7,,,,
4,2020-03-05,42.8,87.0,14.3,29.3,,,,
5,2020-03-06,44.4,60.2,9.1,29.6,,,,
6,2020-03-07,44.2,62.1,8.5,30.2,,,,
7,2020-03-08,45.4,71.5,7.3,30.1,,,,
8,2020-03-09,48.2,68.2,16.2,29.8,,,,
9,2020-03-10,58.1,74.5,24.1,29.5,145.5334772368854,,,
10,2020-03-11,53.4,66.5,16.7,29.7,89.75486245542768,,,
11,2020-03-12,46.9,56.7,24.1,29.7,1.0000000594119127,,,
12,2020-03-13,48.6,64.6,11.1,30.0,1.0000000594119127,,,
13,2020-03-14,53.2,59.8,9.8,30.2,11.512383592925836,,,
14,2020-03-15,50.1,63.8,11.4,30.1,1.000000074264892,,,
15,2020-03-16,49.4,67.1,6.3,30.1,1.000000074264892,,,
16,2020-03-17,53.7,73.9,14.0,30.2,4.750904161108101,,,
17,2020-03-18,54.1,80.8,13.6,30.2,3.6301903604650425,,,
18,2020-03-19,45.9,80.6,8.2,30.3,5.707613626549899,,,
19,2020-03-20,46.6,70.6,13.3,30.4,2.266711074695036,,,
20,2020-03-21,55.7,47.4,7.5,30.3,2.074177385570164,,,
21,2020-03-22,46.1,71.3,9.0,30.2,2.774771749768685,,,
22,2020-03-23,50.2,47.1,11.7,30.3,3.772092277786269,,,
23,2020-03-24,53.6,43.3,12.8,30.2,2.3049570801471733,,,
24,2020-03-25,53.6,35.7,6.2,30.2,2.855076983445323,,,
25,2020-03-26,52.0,43.2,8.5,30.2,3.8836936727939873,,,
26,2020-03-27,52.8,46.6,14.4,30.2,2.2735351657464853,,,
27,2020-03-28,52.4,63.4,2.7,30.1,1.7594547449008422,,,
28,2020-03-29,61.1,67.9,15.5,30.2,5.198445551074023,,,
29,2020-03-30,46.1,70.8,14.6,30.5,3.128244039634484,,,
30,2020-03-31,49.5,51.7,8.9,30.4,5.1234682394216735,,,
31,2020-04-01,41.7,74.4,6.9,30.2,1.0000006089724396,,,
32,2020-04-02,44.9,66.3,14.0,30.4,12.001761562224653,,,
33,2020-04-03,49.4,56.7,7.5,30.0,20.50536220957413,,,
34,2020-04-04,51.9,81.8,16.8,29.7,40.3289920790573,,,
35,2020-04-05,41.2,36.4,16.9,30.0,36.9212730002176,,,
36,2020-04-06,41.9,38.2,16.2,30.0,114.18548477383604,,,
37,2020-04-07,42.6,40.3,13.3,30.2,210.1329013041916,,,
38,2020-04-08,62.4,53.6,4.6,30.2,363.6758673972353,,,
39,2020-04-09,68.4,46.0,6.8,30.2,456.8069669632517,,,
40,2020-04-10,0.0,0.0,0.0,0.0,5.275153649547992,,,
41,2020-04-11,55.2,47.9,12.7,29.8,2.8539552972878663,,,
42,2020-04-12,45.7,44.6,7.8,30.3,3.4672600849028155,,,
43,2020-04-13,47.5,53.6,15.6,30.3,1.887794983172978,,,
44,2020-04-14,48.3,46.6,10.8,30.4,4.828118600722016,,,
